"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif"
"PSMC2P1",7.7596737152008,-3.23482079395085,59.1651085204001,1.05133373054645e-234,3.81644657525665e-230,525.924225051357,TRUE
"CRNN",-7.94467650652863,-7.9514427221172,-47.6210100028314,6.37202844496306e-193,1.15655502290302e-188,430.527501422849,TRUE
"MYH7",-7.65233773589546,-7.79208922495274,-41.7292607853383,4.71902846549005e-169,5.71018174419181e-165,375.899845877661,TRUE
"DCD",-6.89389160630688,-8.47540170132325,-39.2016421967565,3.05370989064628e-158,2.77131806850877e-154,351.134361940915,TRUE
"FLG2",-4.87475419068727,-8.77519357277883,-38.89679028162,6.48960096247522e-157,4.71158009077626e-153,348.092731900815,TRUE
"PLVAP",4.14943928800196,4.14688884688091,37.4689866388622,1.2485229493527e-150,7.55377193074205e-147,333.690515511974,TRUE
"LIPF",-8.40105247351556,-7.91622495274102,-36.9930561688147,1.64298725095922e-148,8.52029717101007e-145,328.832736565223,TRUE
"PRM1",-8.00014778024135,-8.07525425330813,-35.152302510769,3.36025197468415e-140,1.52475633666262e-136,309.778724071366,TRUE
"RPL10P3",7.99334699433359,-2.24386824196597,34.8049539089891,1.30227967389819e-138,5.25267271579759e-135,306.136491199811,TRUE
"CYP11B1",-6.22317637349092,-8.34330888468809,-32.9477330840042,5.16041831803826e-130,1.87328345363107e-126,286.416946744272,TRUE
"GBA1",2.80389837891105,5.39499565217391,32.905476706679,8.13458172963993e-130,2.68448592152417e-126,285.963571084108,TRUE
"PNLIP",-8.90996791574273,-7.55015822306238,-32.3982606533449,1.9482327990319e-127,5.89356656980475e-124,280.505648252895,TRUE
"PRM2",-7.60948497413148,-7.96588279773157,-31.6557530731563,6.23870500156504e-124,1.74208638662933e-120,272.463769329186,TRUE
"MYL1",-7.14596511456015,-8.0539056710775,-31.602143918133,1.11995448004344e-123,2.90396197000406e-120,271.880793936278,TRUE
"RPL17P36",6.01909587829514,-0.166078449905482,31.45625963671,5.51273895073656e-123,1.33411957767125e-119,270.292789329349,TRUE
"BMP10",-7.80366760532145,-6.45654744801512,-30.8502089540955,4.23981031809312e-120,9.61933464731864e-117,263.671328489905,TRUE
"CD34",3.31677630697215,2.76671228733459,30.7211679579597,1.75380304193735e-119,3.74498848384517e-116,262.256489034592,TRUE
"SEM1",1.94329457748213,7.71425463137996,30.6290361557452,4.83832708193449e-119,9.75756174451688e-116,261.245277177554,TRUE
"PRPF6",1.79704354767184,4.85495293005671,30.0983816383413,1.69956498871914e-116,3.24715308713123e-113,255.404140583695,TRUE
"MYH2",-5.56032348115292,-8.26633856332703,-30.0728600318313,2.25463400679866e-116,4.0922734540399e-113,255.122501427589,TRUE
"COMMD4",1.73714116531164,6.26082230623819,29.676736960099,1.82655903978179e-114,3.15742474776757e-111,250.742968080961,TRUE
"PRSS53",-4.90315019955654,-1.20827882797732,-28.9692316601976,4.85794804315508e-111,8.01583508702602e-108,242.883666668341,TRUE
"MYH6",-5.81074326927807,-7.95671493383743,-28.8758568302797,1.38016553487527e-110,2.17832126441335e-107,241.842982192337,TRUE
"CLEC4M",-10.2704612540034,-2.8892741020794,-28.5322834416763,6.47692645242266e-109,9.79662113122478e-106,238.007136465866,TRUE
"GABRD",4.82491906134516,-0.930198109640832,28.440511476234,1.81373759999559e-108,2.6336195446976e-105,236.980808591209,TRUE
"RPS2P55",3.62987460458241,0.351413799621928,28.4070279163293,2.6412968841274e-108,3.68775839195034e-105,236.606167684199,TRUE
"COA6",2.15223335304261,5.17573137996219,28.3705241000559,3.97952613409339e-108,5.35039919236015e-105,236.197625395214,TRUE
"KRT2",-6.73035813008124,-7.4067538752363,-28.3283715600103,6.38928626203167e-108,8.28348144992899e-105,235.725723908087,TRUE
"KRTCAP2",1.89102037694012,7.89587334593573,28.1095833320916,7.47709348735956e-107,9.35951623050481e-104,233.273987652032,TRUE
"ADAMTS13",-3.12422336536093,2.01986710775047,-28.0063373802067,2.39024602533094e-106,2.89227736551795e-103,232.115648642006,TRUE
"NAXE",1.74732282581916,6.41823988657845,27.8605289504764,1.23551167922808e-105,1.44678417637608e-102,230.478327924454,TRUE
"LMNA",2.14589386055678,6.87395860113422,27.7740596125742,3.27539525570602e-105,3.71562884929326e-102,229.506543439721,TRUE
