"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",2.63299914763604e-22,1.31649957381802e-20,1.22105375677186,0.702636575298281,2.44974360999836,200,"CDKN2A;KIF4A;CDC20;DLGAP5;DEPDC1;TOP2A;CENPM;PTTG1;DIAPH3;MYBL2;MELK;CDK1;CDKN3;E2F8;SPC25;MKI67;CCNB2;SPC24;UBE2T;CENPE;STMN1;RRM2;BUB1B;KIF2C;ASF1B;KIF18B;BIRC5;MCM2;HMMR;TCF19;GINS1;AURKB;MAD2L1;CDCA8;TRIP13;RNASEH2A;CCNE1;CDKN2C;TK1;UBE2S;RAD51AP1;RACGAP1;AURKA;CDCA3;MCM5;HMGA1;MCM6;KPNA2;CDC25A;PLK4;CHEK1;GINS4;JPT1;ORC6;PRIM2;DSCC1;MCM4;PCNA;CKS2;PLK1;SNRPB;MSH2;HELLS;LMNB1;MCM3;NME1;ATAD2;H2AZ1;HMGB2;DCK;CKS1B;CIT;DCTPP1;POLA2;RAD51C;RFC3;RAN;TACC3;POLD1;TUBB;CDK4;GINS3;H2AX;DCLRE1B;NAA38;TUBG1;RPA3;SUV39H1;RAD21;CSE1L;ASF1A;NAP1L1;LIG1;XRCC6;MCM7;CHEK2;MMS22L;PA2G4;TMPO;ESPL1;LBR;RBBP7;PRKDC;EZH2;BARD1;KIF22;RFC2;SSRP1;SMC3;PSMC3IP;NUDT21;PAICS;SLBP;TIPIN;UNG;ANP32E;PHF5A;BRCA2;DEK;USP1;RPA2;PPP1R8;UBR7;PSIP1;PPM1D;TP53;NCAPD2;NUP205;SYNCRIP;RANBP1;RPA1;NBN;EIF2S1"
"HALLMARK_G2M_CHECKPOINT",1.21603241974884e-20,3.0400810493721e-19,1.1778932614942,0.689041352428857,2.40234384243468,200,"KIF4A;NEK2;PBK;CDC20;CENPA;TOP2A;UBE2C;PTTG1;CENPF;MYBL2;CDK1;CDKN3;EXO1;NDC80;TTK;MKI67;CCNB2;E2F1;TROAP;BUB1;CENPE;STMN1;KIF15;KIF2C;BIRC5;TPX2;MCM2;HMMR;KIF23;CDC45;AURKB;MAD2L1;KIF11;PRC1;RAD54L;GINS2;CDKN2C;UBE2S;RACGAP1;AURKA;POLQ;MCM5;HMGA1;MCM6;KPNA2;CDC25A;E2F2;CCNA2;KNL1;PLK4;CHEK1;CDC6;JPT1;ORC6;PRIM2;CKS2;TRAIP;NUSAP1;PLK1;CHAF1A;CCNF;MARCKS;SNRPD1;LMNB1;MCM3;H2AZ1;H2BC12;SQLE;CKS1B;POLA2;H2AZ2;STIL;HMGN2;TACC3;KIF20B;CDK4;SMC2;H2AX;DTYMK;UCK2;SUV39H1;CBX1;RAD21"
"HALLMARK_MYC_TARGETS_V1",1.30639163084827e-19,2.17731938474711e-18,1.14219120216838,0.680733993392042,2.3733802210807,200,"CDC20;MCM2;CDC45;MAD2L1;TYMS;MCM5;MCM6;KPNA2;CCNA2;PABPC1;MCM4;PCNA;CCT3;NPM1;SNRPD1;NME1;SNRPD2;RRM1;H2AZ1;LSM2;ILF2;FBL;PPIA;PSMB3;CCT7;RFC4;CSTF2;HSP90AB1;RAN;SNRPB2;CDK4;PHB1;MRPL9;EPRS1;EIF3D;RUVBL2;NHP2;AIMP2;RPL14;HPRT1;CCT5;HNRNPA1;PPM1G;PSMD14;GLO1;RPS10;SSBP1;SET;RPL6;NAP1L1;RACK1;PSMB2;SNRPD3;CANX;XRCC6;PSMA6;MCM7;PSMC4;RPLP0;RSL1D1;CCT4;PA2G4;SNRPG;HNRNPA3;CYC1;LSM7;RPS6;VBP1;COPS5;PSMD8;RPL22;KARS1;PSMA7;TRIM28;VDAC1;ERH;APEX1;HDGF;IMPDH2;YWHAQ;PWP1;HNRNPU;RPS2;PTGES3;RPL18;UBA2;RRP9;RPS5;COX5A;RPS3;PRPS2;HNRNPC;HDAC2;RPL34;EIF2S2;PRPF31;CCT2;SERBP1;EEF1B2;PSMA2;ACP1;CBX3;MRPS18B;POLE3;DEK;PSMA4;USP1;UBE2L3;SF3A1;SMARCC1;SNRPA;UBE2E1;PGK1;CLNS1A;NOP16;AP3S1;BUB3;TXNL4A;EXOSC7;TUFM;YWHAE;SYNCRIP;RANBP1;EIF4G2;EIF2S1;SLC25A3;STARD7;G3BP1;MRPL23;HNRNPR;DUT;MYC;SNRPA1;HDDC2;EIF3B;PSMD1;NCBP2;PRDX4;SRM;TOMM70;RNPS1;PCBP1;NDUFAB1;HNRNPA2B1;CUL1;SSB;ETF1;RAD23B;SF3B3;KPNB1;HSPD1;PSMD3;POLD2;C1QBP;TCP1;ODC1;EIF1AX;FAM120A;DDX18;VDAC3;PABPC4"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",7.03579377955025e-11,8.79474222443781e-10,0.839088935621274,0.587559265510833,2.04868883746596,199,"BAX;ATP1B1;ATP5MC1;COX6B1;ATP6V1F;UQCRH;COX7B;UQCRB;NDUFC2;ATP6AP1;NDUFA1;ATP5MG;COX7C;ATP5MF;COX6C;TOMM22;ATP5F1E;NDUFS6;ATP5MC2;ATP5PD;ETFB;NDUFS4;NDUFB6;NDUFA7;NDUFA2;TIMM9;ATP6V0E1;COX6A1;UQCR10;NDUFB4;NDUFA8;ATP6V1E1;MRPL15;ATP6V1C1;ATP6V1D;TIMM10;COX8A;COX7A2;NDUFA3;ATP5ME;GPX4;HCCS;NDUFB2;UQCRC1;COX4I1;ATP6V1H;POLR2F;NDUFB5;CYC1;NDUFS8;MGST3;NDUFA6;VDAC2;SLC25A5;MRPL11;NDUFB7;SLC25A6;VDAC1;NDUFS7;NDUFB3;TIMM50;COX17;ATP5F1C;ATP5PO;ATP6V0B;COX5A;MRPL35;SDHC;COX7A2L;ATP6V1G1;HADHA;FH;PHYH;NDUFS3;UQCR11;ACO2;ATP5PB;COX5B;OGDH;TIMM17A;IDH1;NDUFB8;NDUFA9;UQCRQ;TIMM8B;TIMM13;NDUFC1;ATP5PF;ISCA1;PDHB;IDH3G;MRPS12;MDH1;MTX2;MRPS15;HSPA9;ATP5F1B;NDUFB1;ATP5F1A;ATP5MC3;GPI;LRPPRC;CYCS;HTRA2;SLC25A3;DLAT;SURF1;ATP6V0C;MRPS30;MDH2;AIFM1;UQCRFS1;MRPS22;NQO2;ECI1;ECH1;TOMM70;ALAS1;NDUFAB1;SUPV3L1;MRPS11;LDHB;PDHA1;COX11;AFG3L2;NDUFS2;MAOB;ISCU;HSD17B10;SUCLG1;VDAC3;IMMT;IDH3B;SLC25A11;NDUFS1;RETSAT;DLD;ATP5F1D;NDUFV1"
"HALLMARK_MITOTIC_SPINDLE",2.63507468041609e-09,2.63507468041609e-08,0.774939030136436,0.563056807746365,1.96325420191663,199,"KIF4A;NEK2;DLGAP5;TOP2A;CENPF;CDK1;NDC80;TTK;CCNB2;ANLN;BUB1;CENPE;KIF15;KIF2C;BIRC5;TPX2;KIF23;KIF11;PRC1;RACGAP1;AURKA;ECT2;NUSAP1;PLK1;MARCKS;LMNB1;SAC3D1;FSCN1;ALMS1;ARHGEF3;MAPRE1;KIFAP3;KIF20B;KIF3C;CYTH2;MAP1S;GSN;PIF1;CEP131;CAPZB;RALBP1;INCENP;DYNC1H1;ACTN4;ESPL1;CDC42;FGD6;MID1;LLGL1;NIN;KIF22;UXT;MYH9;SMC3;BIN1;PCGF5;BRCA2;STAU1;RHOF;WASF2;PREX1;SPTAN1;MID1IP1;NEDD9;KATNB1;ARF6;TUBA4A;CLIP2;ARHGEF2;PALLD;YWHAE;LRPPRC;CDC42EP2;WASL;FLNB;KIF5B;SEPTIN9;CDK5RAP2;KIF3B;MARK4;ARHGDIA;RFC1;CD2AP;CDC42EP4;SMC1A;TBCD;CEP250;CEP72;ABI1"
"HALLMARK_DNA_REPAIR",1.48108323114019e-08,1.23423602595016e-07,0.747739663149885,0.587773409498046,1.98434879668584,150,"ZWINT;RAD51;TYMS;BOLA2;FEN1;PRIM1;PCNA;NELFE;BCAP31;NME1;POLR2K;PDE6G;SAC3D1;ALYREF;MPC2;CCNO;GTF2H5;BCAM;RFC4;POLA2;POLR1H;DAD1;RFC3;VPS28;POLD1;GTF2A2;POLR3C;CETN2;RPA3;HPRT1;LIG1;POLR2G;GPX4;SUPT4H1;TSG101;POLR2F;RALA;EDF1;CANT1;SDCBP;RBX1;IMPDH2;COX17;POLA1;ERCC1;RFC2;TAF9;SSRP1;POLR3GL;ADA;POLR2J;ERCC2;NUDT21;ADRM1;UMPS;ITPA;TAF12;TAF10;CLP1;NELFCD;POLR2I;MRPL40;SF3A3;GTF2F1;CMPK2;RPA2;DDB1;TP53;BRF2;RRM2B;DGUOK;GUK1;ARL6IP1;DCTN4;RFC5;ZNF707;POLH;TAF6;SURF1;RAE1;APRT;USP11;NELFB;DUT;TMED2;NCBP2;SNAPC5;POLR2D;POLR2E;MPG;NT5C;GTF2B;GSDME;POLE4;NUDT9;POLR2C"
"HALLMARK_MTORC1_SIGNALING",2.54710198411176e-08,1.81935856007983e-07,0.73376198835648,0.540568439271101,1.88469277920666,200,"BUB1;RRM2;MCM2;SLC7A11;STC1;AURKA;CDC25A;MCM4;PLK1;PSPH;IFI30;CCNF;SQSTM1;G6PD;ATP5MC1;GMPS;CTSC;RPN1;BCAT1;SQLE;PPIA;PIK3R3;CALR;TM7SF2;SLC1A5;CACYBP;TXNRD1;EPRS1;TUBG1;HSPA4;HPRT1;PSMB5;FDXR;PSMD14;TMEM97;ATP6V1D;SCD;HSPA5;PRDX1;CANX;PSMC4;DHFR;SKAP2;PSMC2;ALDOA;COPS5;PDAP1;SSR1;GLA;LGMN;ACLY;UCHL5;CYP51A1;SERPINH1;TOMM40;CCNG1;ITGB2;FKBP2;SEC11A;ENO1;ACTR2;CCT6A;SLC1A4;ACTR3;GAPDH;RRP9;ABCF2;PPA1;LTA4H;CYB5B;EIF2S2;PNO1;UNG;HK2;CXCR4;TES;BTG2;STIP1;PSME3;IDH1;TCEA1;PSMA4;NUPR1;PSMD13;PGK1;TUBA4A;NUP205;HSPA9;EEF1E1;GPI;RPA1;FGL2;GSK3B;DDX39A;NUFIP1;TPI1;GSR;HMBS;RIT1;RDH11;EGLN3;IDI1;ACSL3;PSMA3;EBP;ME1;P4HA1;NHERF1;CORO1A;WARS1;ETF1;CD9;DHCR24;HSPD1;PSMG1"
"HALLMARK_KRAS_SIGNALING_DN",1.29755865801282e-07,8.1097416125801e-07,0.690132458796796,-0.54611381978873,-1.85728745947837,200,"KRT13;CLPS;SPRR3;KRT4;MYH7;KRT1;CKM;CALML5;OXT;MYOT;CPA2;SOX10;KRT5;ACTC1;GP2;KRT15;CPB1;NTF3;RGS11;BMPR1B;TFF2;TNNI3;CNTFR;ATP4A;LGALS7;KLK7;WNT16;PKP1;ARPP21;MYO15A;CCNA1;TG;SERPINB2;MEFV;TSHB;FSHB;CYP39A1;SNCB;UGT2B17;ARHGDIG;TGM1;SCGB1A1;ABCB11;KLK8;P2RX6;TAS2R4;PNMT;CPEB3;ALOX12B;CYP11B2;ZBTB16;SPTBN2;NPY4R;RYR2;NOS1;KCND1;NR4A2;CHRNG;ABCG4;PAX4;EFHD1;P2RY4"
"HALLMARK_MYOGENESIS",2.33901432032427e-05,0.000129945240018015,0.575610261071129,-0.494457683120096,-1.68160925584516,200,"MYL2;MYH7;MYL1;CKM;MYL7;MYH2;ACTA1;DES;ACTC1;MYH1;CSRP3;SLN;VIPR1;COX6A2;GNAO1;PVALB;TNNT3;CAMK2B;MYBPC3;MYBPH;MYL3;PTGIS;NCAM1;MYOM2;TNNT2;MYF6;ENO3;PPP1R3C;CACNA1H;ATP2A1;MYH3;TNNT1;MB;PPFIA4;PYGM;CASQ1;SGCA;MYL11;MYOZ1;ACSL1;LDB3;EFS;LAMA2;IGF1;CKMT2;IGFBP3;NOS1;FXYD1;TNNC2;ACTN3;CHRNG;GADD45B;MAPRE3;IFRD1;SORBS1;TCAP;SGCD;CAV3;NAV2;BHLHE40;DMPK;KCNH1;LPIN1;PC;FHL1;APOD;MYOG;MYH11;SPEG;KCNH2;AGL"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000186513919366747,0.000932569596833737,0.518848077743792,0.537470235783382,1.71046420395898,97,"CXCL11;CXCL10;IFI27;LAMP3;CD74;PSMB9;IFI30;RTP4;CCRL2;ISG15;LGALS3BP;IFI35;GBP2;RIPK2;HLA-C;OASL;PSME1;IFIT3;CD47;DDX60;B2M;RSAD2;PSME2;IFIT2;TAP1;ISG20;TRIM26;IFIH1;USP18;PSMB8;CNP;CMPK2;GBP4;NUB1;IFITM3;NMI;MVB12A;EPSTI1;MX1;EIF2AK2;BST2;IFI44L;ADAR;TDRD7;TRIM21;OAS1;HELZ2;PSMA3;WARS1;CASP8;TMEM140;SP110;TRAFD1;IRF1"
