"celltype","rho","p","padj"
"MHC II POS B CELLS",0.616968942675007,4.43964722872217e-40,9.32325918031655e-39
"NK NKT CELLS",0.580635395818308,1.21431427950693e-34,1.27502999348228e-33
"KUPFFER CELLS",0.544738090363968,6.70185030653894e-30,4.69129521457726e-29
"RESIDENT B CELLS",0.52495102584687,1.60362177640286e-27,8.41901432611499e-27
"Dendritica",0.473338879204317,5.30488557256666e-22,1.85670995039833e-21
"B cells",0.444869380753887,2.46316861985012e-19,7.38950585955036e-19
"Plasma cells",0.431249883569447,3.81467041536072e-18,1.00135098403219e-17
"Monocito",0.420317695521955,3.15153839466364e-17,7.3535895875485e-17
"Treg",0.412938492473905,1.25584547842296e-16,2.63727550468822e-16
"Neutrofilo",0.390255730851857,7.14700930397079e-15,1.36442904893988e-14
"Macrofago M1",0.378566061497176,5.09723815227805e-14,8.92016676648659e-14
"EPCAM POS BILE DUCT CELLS",0.344614108477661,9.96621494660647e-12,1.60992702983643e-11
"Fibroblasto/CAF",0.28961305996921,1.45915043228989e-08,2.18872564843484e-08
"STELLATE CELLS",0.219984131467255,2.01012232695962e-05,2.81417125774347e-05
"Macrofago M2",0.194189761309797,0.000174453835044985,0.000228970658496543
"NK",0.173261041220144,0.000831004175589174,0.00102653456984545
"Mastocito",0.116107804769372,0.0257249342407017,0.0300124232808186
"MVECS",0.0740111662520077,0.155948295775215,0.172363905856817
"LSECS",0.0682755412003055,0.190667175346845,0.200200534114187
"Endotelio",-0.0429630309000933,0.410580327788384,0.410580327788384
"HEPATOCYTES",-0.501939739697614,6.05612252055665e-25,2.54357145863379e-24
