"gene","rho","p","padj","classe"
"TNFRSF18",0.735140543796835,6.21149971705568e-64,1.8634499151167e-62,"Checkpoint imune"
"CTLA4",0.689792609871509,2.01791690072239e-53,3.02687535108358e-52,"Checkpoint imune"
"HAVCR2",0.668914228830807,3.2978146599849e-49,3.2978146599849e-48,"Checkpoint imune"
"ICOS",0.649580080309654,1.33395908479551e-45,1.00046931359663e-44,"Checkpoint imune"
"CD86",0.647674348518958,2.92759724347969e-45,1.75655834608781e-44,"Checkpoint imune"
"TIGIT",0.632775235072432,1.13064658026124e-42,5.65323290130618e-42,"Checkpoint imune"
"PDCD1",0.608359106290589,9.98640406561295e-39,4.27988745669127e-38,"Checkpoint imune"
"LGALS9",0.605765366841004,2.50416733211381e-38,9.39062749542679e-38,"Checkpoint imune"
"CD80",0.600690835439453,1.47662679137935e-37,4.92208930459782e-37,"Checkpoint imune"
"TNFRSF4",0.591719003903718,3.15158758010265e-36,9.45476274030795e-36,"Checkpoint imune"
"TNFRSF9",0.561132317108253,5.39665794419244e-32,1.47181580296157e-31,"Checkpoint imune"
"ENTPD1",0.482021409001264,7.25191879441928e-23,1.81297969860482e-22,"Checkpoint imune"
"CD276",0.430800737469953,4.16671422984595e-18,9.61549437656757e-18,"Checkpoint imune"
"PDCD1LG2",0.410322674325544,2.0334997748834e-16,4.35749951760729e-16,"Checkpoint imune"
"LAG3",0.374564636330022,9.80918585432398e-14,1.9618371708648e-13,"Checkpoint imune"
"VSIR",0.372769340701027,1.31195777180417e-13,2.45992082213282e-13,"Checkpoint imune"
"IDO1",0.357484396903816,1.45164435929492e-12,2.56172533993221e-12,"Checkpoint imune"
"CD274",0.298704346975047,4.83934695871632e-09,8.0655782645272e-09,"Checkpoint imune"
"NOTCH1",0.274056287422574,8.8271700468889e-08,1.39376369161404e-07,"Angiogênese"
"PECAM1",0.242281303654182,2.49401561205457e-06,3.74102341808186e-06,"Angiogênese"
"ANGPT2",0.205945214648232,6.73495062341526e-05,9.62135803345037e-05,"Angiogênese"
"CD40",0.151721042887992,0.00348340577741041,0.00475009878737784,"Checkpoint imune"
"DLL4",0.148611754157538,0.00422365793552012,0.0055091190463306,"Angiogênese"
"EFNB2",0.126067667964114,0.015387018393106,0.0192337729913825,"Angiogênese"
"NT5E",0.117516160239976,0.0239718289561612,0.0285802358895615,"Checkpoint imune"
"VEGFA",0.0893960328650632,0.086372670883588,0.0959696343150978,"Angiogênese"
"FLT1",0.0729069040365102,0.162231783535744,0.173819768074011,"Angiogênese"
"TEK",-0.000612938867947436,0.990637658263167,0.990637658263167,"Angiogênese"
"SIGLEC15",-0.0442319617808958,0.396883557322064,0.410569197229722,"Checkpoint imune"
"KDR",-0.116864671842598,0.0247695377709533,0.0285802358895615,"Angiogênese"
