"celltype","p","diff","median_Tumor","median_Normal","padj"
"Treg",0,0.0984164044753761,0.201603066196335,0.103186661720959,0
"Macrofago M1",0,0.117931620371553,0.321447369268142,0.203515748896589,0
"Monocito",0,0.105480093372269,0.763567712178319,0.65808761880605,0
"Dendritica",0,0.0976341388218826,0.230569917870808,0.132935779048925,0
"Endotelio",0,0.155556159442828,0.645639118291247,0.490082958848419,0
"Neutrofilo",2.71006322498843e-48,-0.228236682062476,0.321670928813368,0.549907610875844,9.48522128745951e-48
"HEPATOCYTES",2.06841887891416e-41,-0.0488867216675353,0.647228991594877,0.696115713262412,6.20525663674248e-41
"NK",2.20165595806381e-13,-0.079473707104618,0.254966647760083,0.334440354864701,5.7793468899175e-13
"STELLATE CELLS",1.94226482783749e-09,-0.0356994280803632,0.59468482372125,0.630384251801613,4.53195126495414e-09
"Mastocito",2.94827979304249e-07,-0.0732150646776813,0.148082158759227,0.221297223436909,6.19138756538923e-07
"LSECS",9.66467703365748e-07,-0.020098738493691,0.539045765521216,0.559144504014907,1.84507470642552e-06
"B cells",2.35617808844765e-06,-0.0637799377449521,0.142281725788759,0.206061663533711,4.12331165478339e-06
"Plasma cells",0.000119714356333419,-0.06506536697055,0.540905058403861,0.605970425374411,0.000193384729461677
"MHC II POS B CELLS",0.0650842904431455,0.00512946463860914,0.475831717449131,0.470702252810522,0.0976264356647182
"MVECS",0.0708834554087079,0.0116963125250205,0.558036873324994,0.546340560799974,0.099236837572191
"EPCAM POS BILE DUCT CELLS",0.163730992346058,0.0106801113968261,0.626311291149322,0.615631179752496,0.214896927454201
"RESIDENT B CELLS",0.244002971165008,-0.00864189784509772,0.597285157460189,0.605927055305286,0.301415434968539
"Fibroblasto/CAF",0.281416974346351,-0.00191034770908005,0.620921275808294,0.622831623517374,0.328319803404076
"Macrofago M2",0.415062244072495,0.0016711167826956,0.565787866922568,0.564116750139873,0.458753006606442
"NK NKT CELLS",0.660022643340542,-0.00517098012858863,0.514031124680168,0.519202104808757,0.693023775507569
"KUPFFER CELLS",0.833106141693606,-0.00190105250349482,0.549132570062591,0.551033622566086,0.833106141693606
