"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif","direcao"
"VEGFA",-2.320344,5.91986975425331,-13.3606598155812,2.70569649800743e-35,1.10933556418305e-33,69.346216916592,TRUE,"Down"
"MMP8",-3.69361836363638,-7.58335765595463,-9.33154945511604,2.84581917968372e-19,5.83392931835163e-18,32.8498929725352,TRUE,"Down"
"FN1",0.897987272727281,10.0701442344045,6.54913253530262,1.3714923478167e-10,1.87437287534948e-09,13.2126714407761,FALSE,"NS"
"LAMB1",-1.17596145454545,4.07140378071834,-5.66183477787593,2.45789118634942e-08,2.51933846600816e-07,8.16501700637547,TRUE,"Down"
"ITGA5",-0.823624363636357,4.80903364839319,-4.92230356687542,1.1441978385749e-06,9.38242227631417e-06,4.45724842303858,FALSE,"NS"
"MMP3",-2.99206072727274,-6.44445217391304,-4.73866960996804,2.76827230032162e-06,1.89165273855311e-05,3.60936797663981,TRUE,"Down"
"COL6A1",-0.996929454545447,5.01713553875236,-4.58860050815321,5.57739583145598e-06,3.26676041556707e-05,2.93880286802702,FALSE,"NS"
"TIMP3",0.744703636363644,4.48353024574669,4.30463088747572,1.99309785929059e-05,0.000102146265288643,1.72428327664494,FALSE,"NS"
"CDH1",0.89770763636364,4.69662551984877,3.76995641439188,0.000181649446762442,0.000827514146362235,-0.36505479430871,FALSE,"NS"
"SERPINE1",1.22675418181819,4.7244427221172,3.49814473638871,0.000507917248579844,0.00208246071917736,-1.32668196454559,TRUE,"Up"
"MMP7",2.19917418181818,-0.0887958412098298,3.30295458064536,0.00102139930851591,0.00380703378628658,-1.97488459095617,TRUE,"Up"
"PLAUR",0.74651181818182,1.6245347826087,2.83815889007508,0.00471154802623745,0.0160977890896446,-3.37392948597106,FALSE,"NS"
"TIMP4",-0.956666181818187,-2.47636370510397,-2.80320244960592,0.00524531176142924,0.0165429063245076,-3.47086464166413,FALSE,"NS"
"VIM",0.48356545454546,6.71095255198488,2.62386202310285,0.0089447099599473,0.02619522202556,-3.94981280291972,FALSE,"NS"
"LAMC1",0.393205090909094,4.0046943289225,1.95369648482075,0.0512632266336606,0.140119486132006,-5.46513977399948,FALSE,"NS"
"PLAU",0.416817090909091,0.967748771266541,1.87191493999428,0.0617693598170877,0.1489731619118,-5.62017321187495,FALSE,"NS"
"MMP12",1.14846618181817,-4.523902268431,1.87653211807382,0.0611324552854715,0.1489731619118,-5.61159689384196,FALSE,"NS"
"COL5A1",-0.593076363636362,1.74168771266541,-1.82577751693845,0.0684467915086123,0.155906580658506,-5.70474997170104,FALSE,"NS"
"MMP1",0.886535272727267,-3.05569149338374,1.69782330526674,0.0901291624379456,0.19448924526083,-5.92839778699771,FALSE,"NS"
"MMP15",-0.232468363636358,4.37530510396975,-1.56674508348947,0.117771636795087,0.229935100409456,-6.1408372051894,FALSE,"NS"
"ITGB1",0.250387636363643,6.59501247637051,1.59006359004288,0.112417273649629,0.229935100409456,-6.10427981584262,FALSE,"NS"
"TIMP1",0.436514727272739,7.57532514177694,1.33116817986734,0.183706486274314,0.304429152628761,-6.4801141452115,FALSE,"NS"
"SPP1",0.736913454545459,5.13855425330813,1.32534881972973,0.185627532090708,0.304429152628761,-6.48780191161793,FALSE,"NS"
"THBS1",0.411409636363638,3.38294555765595,1.3767576161225,0.169168976737085,0.304429152628761,-6.41872853918486,FALSE,"NS"
"MMP10",0.826749636363633,-5.03063780718337,1.34768859103872,0.178335377840026,0.304429152628761,-6.45810662203524,FALSE,"NS"
"MMP2",-0.282889999999998,2.58043875236295,-0.94437063672178,0.345410954988454,0.544564898144833,-6.91818621934759,FALSE,"NS"
"COL3A1",0.300174181818186,4.55004839319471,0.918804965453331,0.358615908534402,0.544564898144833,-6.94191468612486,FALSE,"NS"
"MMP11",0.269383272727271,1.21239621928166,0.83579707972065,0.403646026508056,0.57067196851139,-7.01448117685251,FALSE,"NS"
"MMP16",0.357434727272726,-5.60285160680529,0.845848703604912,0.39801921917587,0.57067196851139,-7.0060582455001,FALSE,"NS"
"TIMP2",0.156655818181828,4.2230752362949,0.641599497935332,0.52141086926349,0.634319363348249,-7.15748804805073,FALSE,"NS"
"ITGA6",-0.130307999999999,2.77012551984877,-0.718749432048454,0.472612343078254,0.634319363348249,-7.10516696746793,FALSE,"NS"
"COL1A1",-0.24008945454545,4.39110264650284,-0.696015091015736,0.486724737932996,0.634319363348249,-7.12120043356884,FALSE,"NS"
"MMP13",0.256515090909083,-8.76022192816635,0.634511757569684,0.526020935459523,0.634319363348249,-7.16199758721073,FALSE,"NS"
"COL4A1",0.157895090909095,3.92368790170132,0.663919924936123,0.507030517522765,0.634319363348249,-7.1429599806918,FALSE,"NS"
"ITGAV",-0.118344727272723,2.58105916824197,-0.552051965735334,0.581145655377267,0.680770624870512,-7.21078582882633,FALSE,"NS"
"TGFB1",-0.116541636363633,3.21997258979206,-0.523492065189863,0.600850867349265,0.68430237670333,-7.22610444268099,FALSE,"NS"
"MMP9",0.168904545454544,0.948439130434783,0.44339209951988,0.657663255000684,0.728761985271029,-7.26473097733911,FALSE,"NS"
"COL4A2",-0.0915801818181778,4.35572457466919,-0.406655654643656,0.684425216658573,0.738458786394776,-7.28030728676881,FALSE,"NS"
"LAMA1",0.105083454545448,-4.14059413988658,0.214429538501323,0.830294731070375,0.872873948048343,-7.33986651865146,FALSE,"NS"
