"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif","direcao"
"MMP11",3.66123286178862,1.21239621928166,12.8566374333626,4.08295865373243e-33,1.6740130480303e-31,64.3228134131501,TRUE,"Up"
"ITGA6",1.90376539837398,2.77012551984877,11.8847399887642,4.86316585200673e-29,9.96948999661379e-28,55.0170898548098,TRUE,"Up"
"COL4A1",2.2327592303523,3.92368790170132,10.6257303019501,4.89026094355561e-24,6.68335662285934e-23,43.6094377748332,TRUE,"Up"
"COL4A2",2.05969294850947,4.35572457466919,10.3513648617997,5.4114368467025e-23,5.54672276787006e-22,41.2311715226644,TRUE,"Up"
"LAMC1",1.81792671002709,4.0046943289225,10.2231363677329,1.64130892946885e-22,1.34587332216445e-21,40.1337662033637,TRUE,"Up"
"PLAU",1.51455067208672,0.967748771266541,7.69828917400574,6.80682995341387e-14,4.65133380149948e-13,20.5632568684904,TRUE,"Up"
"MMP14",1.48912265582655,3.54819924385633,7.50674377239884,2.58613060890229e-13,1.51473364235706e-12,19.2523660565894,TRUE,"Up"
"ITGA5",1.0674583523035,4.80903364839319,7.22037857593422,1.81175178818083e-12,9.28522791442676e-12,17.3425148768714,TRUE,"Up"
"LAMB1",1.2322702818428,4.07140378071834,6.71490542433909,4.86147753835038e-11,2.21467310080406e-10,14.1214301142556,TRUE,"Up"
"MMP12",3.51766538753389,-4.523902268431,6.50522221724037,1.80010900224773e-10,7.3804469092157e-10,12.8422698532866,TRUE,"Up"
"SERPINE1",-1.93072472628728,4.7244427221172,-6.23118156959336,9.45127890516676e-10,3.52274941010761e-09,11.2243088402391,TRUE,"Down"
"MMP9",2.02270254742547,0.948439130434783,6.00963997417081,3.46260876451471e-09,1.18305799454253e-08,9.95974871819998,TRUE,"Up"
"MMP1",2.62704584823849,-3.05569149338374,5.69421608373842,2.0572584293224e-08,6.48827658478603e-08,8.22816304298649,TRUE,"Up"
"ITGAV",1.05685687804878,2.58105916824197,5.57977961592842,3.84789238535575e-08,1.12688276999704e-07,7.6208437003344,TRUE,"Up"
"ITGB1",0.750827273712722,6.59501247637051,5.39649119539754,1.02674303136084e-07,2.8064309523863e-07,6.67038931786161,FALSE,"NS"
"THBS1",-1.41821047154472,3.38294555765595,-5.37147471640511,1.17142361453897e-07,3.0017730122561e-07,6.54286597116377,TRUE,"Down"
"VIM",0.854721951219486,6.71095255198488,5.24904630739677,2.21657686216924e-07,5.34586184405521e-07,5.92645448513161,FALSE,"NS"
"SPP1",2.42621717615175,5.13855425330813,4.93870633594801,1.05621495079347e-06,2.40582294347401e-06,4.42133656483167,TRUE,"Up"
"COL1A1",1.4113584715447,4.39110264650284,4.63076482650318,4.58948827458908e-06,9.40845096290761e-06,3.01114119973124,TRUE,"Up"
"VEGFA",0.710985409214083,5.91986975425331,4.63346662771137,4.53227911651442e-06,9.40845096290761e-06,3.02315297785414,FALSE,"NS"
"COL1A2",1.20307588617885,4.58754650283554,4.48440702677412,8.97102131011618e-06,1.75148511292744e-05,2.37013367468901,TRUE,"Up"
"TGFB1",0.831357159891591,3.21997258979206,4.22655430393284,2.79479497266854e-05,5.20848153997319e-05,1.28735392858214,FALSE,"NS"
"MMP10",2.19572288888889,-5.03063780718337,4.05100602150918,5.8640838388789e-05,0.000104533668432189,0.58438937569623,TRUE,"Up"
"LAMA1",-1.66966325745256,-4.14059413988658,-3.8561061447607,0.000129392910816002,0.000221046222644003,-0.16306903246216,TRUE,"Down"
"MMP8",-1.27733407046063,-7.58335765595463,-3.65238085793349,0.000285651583180238,0.000468468596415591,-0.907030163716102,TRUE,"Down"
"MMP13",1.18291237398383,-8.76022192816635,3.31168597796273,0.000990627500271328,0.00156214336581248,-2.06525213453982,TRUE,"Up"
"MMP15",0.428658802168004,4.37530510396975,3.26976129253509,0.0011463538208688,0.00174075950576373,-2.2002762314849,FALSE,"NS"
"MMP7",-1.54999385907859,-0.0887958412098298,-2.63477037293247,0.00866619799531173,0.0126897899217065,-4.04195269984453,TRUE,"Down"
"COL5A1",0.649385067750673,1.74168771266541,2.26260820178697,0.0240641406745711,0.0340217161261178,-4.94187440112734,FALSE,"NS"
"FN1",0.270594634146336,10.0701442344045,2.23358558772767,0.0259271920744677,0.0354338291684393,-5.00642378480044,FALSE,"NS"
"MMP3",1.07548737669381,-6.44445217391304,1.92779639457678,0.0544153926152395,0.0719687450717684,-5.63671955989481,FALSE,"NS"
"MMP2",0.504893577235766,2.58043875236295,1.90763176658793,0.0569794762999344,0.073004954009291,-5.67507319811003,FALSE,"NS"
"CDH1",-0.217907279132802,4.69662551984877,-1.03572144367674,0.30080484734288,0.373727234577518,-6.9510123832431,FALSE,"NS"
"COL6A1",0.190523891598902,5.01713553875236,0.992510443920799,0.321401882319097,0.387572858090675,-6.9946956436754,FALSE,"NS"
"TIMP3",0.147494308943076,4.48353024574669,0.964933816881734,0.335018411201188,0.392450138835678,-7.0216042880086,FALSE,"NS"
"PLAUR",-0.209257371273718,1.6245347826087,-0.900431341750348,0.368300052848546,0.419452837966399,-7.08159348970761,FALSE,"NS"
"TIMP1",0.215803040650383,7.57532514177694,0.744837282599298,0.456700522091985,0.506073551507335,-7.20927183289122,FALSE,"NS"
"COL3A1",0.180548796747958,4.55004839319471,0.625481424836672,0.531924595806416,0.573918642843765,-7.29087840158233,FALSE,"NS"
"MMP16",-0.188889994579935,-5.60285160680529,-0.505911693350466,0.61312918940888,0.644571711942669,-7.35839605163239,FALSE,"NS"
"TIMP4",0.113807539295405,-2.47636370510397,0.377428677854679,0.706006276392206,0.723656433302011,-7.41505373355139,FALSE,"NS"
"TIMP2",0.00730589159889838,4.2230752362949,0.0338657369492565,0.972996976491947,0.972996976491947,-7.4856121461125,FALSE,"NS"
