"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif","direcao"
"MMP8",-4.970952434097,-7.58335765595463,-19.7179501517771,2.62275319227565e-65,1.07532880883302e-63,137.919077379456,TRUE,"Down"
"MMP11",3.93061613451589,1.21239621928166,19.1474644823245,1.71987498994373e-62,3.52574372938465e-61,131.455828648843,TRUE,"Up"
"LAMC1",2.21113180093619,4.0046943289225,17.2493609180478,3.07508710679537e-53,4.20261904595367e-52,110.23048578853,TRUE,"Up"
"COL4A1",2.39065432126139,3.92368790170132,15.7828080196631,2.84060053218949e-46,2.91161554549422e-45,94.2584573354726,TRUE,"Up"
"ITGA6",1.77345739837398,2.77012551984877,15.3584578891883,2.68987984082589e-44,2.20570146947723e-43,89.7283343665201,TRUE,"Up"
"VEGFA",-1.60935859078592,5.91986975425331,-14.5495234536313,1.37817050710702e-40,9.41749846523128e-40,81.2276773327696,TRUE,"Down"
"COL4A2",1.96811276669129,4.35572457466919,13.7213141704177,7.05394087501354e-37,4.13159394107936e-36,72.7318330709585,TRUE,"Up"
"PLAU",1.93136776299581,0.967748771266541,13.618396859823,2.00649457038431e-36,1.02832846732196e-35,71.6922278084253,TRUE,"Up"
"FN1",1.16858190687362,10.0701442344045,13.3811417508253,2.20227671662618e-35,1.00325939312971e-34,69.3100730051682,TRUE,"Up"
"MMP12",4.66613156935206,-4.523902268431,11.9705798110569,2.17197364817001e-29,8.90509195749706e-29,55.5955958313184,TRUE,"Up"
"VIM",1.33828740576495,6.71095255198488,11.4013304319452,4.43664277015449e-27,1.65365775978485e-26,50.3147172071253,TRUE,"Up"
"MMP1",3.51358112096575,-3.05569149338374,10.5649360225456,8.39484152007949e-24,2.86823751936049e-23,42.8308840477132,TRUE,"Up"
"MMP14",1.49579356491746,3.54819924385633,10.4602816153363,2.09394943879782e-23,6.60399438390083e-23,41.9248175211184,TRUE,"Up"
"ITGB1",1.00121491007636,6.59501247637051,9.98273026521535,1.28234292413915e-21,3.75543284926465e-21,37.8483318904348,TRUE,"Up"
"MMP9",2.19160709288002,0.948439130434783,9.03295249227781,3.11337389866222e-18,8.50988865634341e-18,30.136828273694,TRUE,"Up"
"SPP1",3.16313063069721,5.13855425330813,8.93205221095314,6.91622204137097e-18,1.77228189810131e-17,29.3482340377238,TRUE,"Up"
"TIMP3",0.892197945306719,4.48353024574669,8.0971852885057,3.89065599524926e-15,9.38334681207173e-15,23.0990539446881,FALSE,"NS"
"MMP10",3.02247252525253,-5.03063780718337,7.73567680184881,5.23707964142911e-14,1.19289036276996e-13,20.5386328574026,TRUE,"Up"
"ITGAV",0.938512150776053,2.58105916824197,6.87371249034584,1.76526408599999e-11,3.80925408031576e-11,14.8208360667945,FALSE,"NS"
"COL1A2",1.16552697708794,4.58754650283554,6.0267742989662,3.1359771946468e-09,6.42875324902593e-09,9.75648232242501,TRUE,"Up"
"COL6A1",-0.806405562946545,5.01713553875236,-5.82760023237132,9.77522041645056e-09,1.90849541464035e-08,8.64921262972827,FALSE,"NS"
"MMP13",1.43942746489292,-8.76022192816635,5.59032368351032,3.63374551264187e-08,6.77198027355985e-08,7.37291935438966,TRUE,"Up"
"COL1A1",1.17126901699925,4.39110264650284,5.3311713556935,1.44704726822028e-07,2.5795190433492e-07,6.03300423148734,TRUE,"Up"
"THBS1",-1.00680083518108,3.38294555765595,-5.28989449709524,1.79418594959181e-07,3.06506766388601e-07,5.82484520418466,TRUE,"Down"
"TGFB1",0.714815523527958,3.21997258979206,5.04130975183216,6.35833780285699e-07,1.04276739966855e-06,4.60214271380997,FALSE,"NS"
"LAMA1",-1.56457980290712,-4.14059413988658,-5.01266180554038,7.33427176706122e-07,1.15655824019042e-06,4.46442403339891,TRUE,"Down"
"MMP3",-1.91657335057893,-6.44445217391304,-4.76575691492208,2.43444839803449e-06,3.69675497479311e-06,3.30922685480236,TRUE,"Down"
"CDH1",0.679800357230838,4.69662551984877,4.48232366813207,9.05582796185363e-06,1.32603195155714e-05,2.04944954537334,FALSE,"NS"
"TIMP4",-0.842858642522782,-2.47636370510397,-3.87765531480365,0.000118731142447381,0.000167861270356642,-0.39749312099937,FALSE,"NS"
"PLAUR",0.537254446908102,1.6245347826087,3.20701101817999,0.00142225115056172,0.00194374323910102,-2.71824562054593,FALSE,"NS"
"SERPINE1",-0.703970544469091,4.7244427221172,-3.15177445119195,0.00171465921917216,0.00226777509632447,-2.89061771871777,FALSE,"NS"
"TIMP1",0.652317767923122,7.57532514177694,3.12329963661024,0.00188618159777907,0.00241667017215444,-2.97835001549364,FALSE,"NS"
"COL3A1",0.480722978566145,4.55004839319471,2.31028360134968,0.0212559616132234,0.0264089220043079,-5.15668653285622,FALSE,"NS"
"ITGA5",0.243833988667147,4.80903364839319,2.28798865864708,0.0225314238181084,0.0271702463688954,-5.20745247562329,FALSE,"NS"
"MMP15",0.196190438531646,4.37530510396975,2.07602574729808,0.0383734787071364,0.0449517893426455,-5.6659485671246,FALSE,"NS"
"MMP7",0.649180322739591,-0.0887958412098298,1.53083624550922,0.126407563326264,0.1439641693438,-6.6432886663547,FALSE,"NS"
"MMP2",0.222003577235768,2.58043875236295,1.16360416598108,0.245108490260322,0.2716067054236,-7.13644571111379,FALSE,"NS"
"TIMP2",0.163961709780726,4.2230752362949,1.05433916722809,0.292208477942302,0.315277568306168,-7.25736963223631,FALSE,"NS"
"MMP16",0.168544732692791,-5.60285160680529,0.626226646419259,0.531436145262596,0.558689280917088,-7.61669551624816,FALSE,"NS"
"LAMB1",0.0563088272973511,4.07140378071834,0.425658199076698,0.670529865302896,0.687293111935468,-7.72215549596278,FALSE,"NS"
"COL5A1",0.0563087041143111,1.74168771266541,0.272165571528374,0.785600797655271,0.785600797655271,-7.77571304113945,FALSE,"NS"
