"gene","rho","p","padj"
"MMP12",0.729870534712626,1.33042155996676e-62,5.32168623986704e-61
"PLAUR",0.697549929488462,4.43500406585103e-55,8.87000813170205e-54
"TGFB1",0.575638133837071,6.02147813028593e-34,8.02863750704791e-33
"PLAU",0.562055531101252,4.08052799727006e-32,4.08052799727006e-31
"VIM",0.480427081965946,1.04953767538171e-22,8.39630140305367e-22
"TIMP1",0.477585126046478,2.01883251370436e-22,1.34588834246957e-21
"MMP11",0.474545561915482,4.03679760729673e-22,2.01839880364837e-21
"SPP1",0.474762686938759,3.84272808714112e-22,2.01839880364837e-21
"MMP7",0.454947036384095,2.99166157524487e-20,1.3296273667755e-19
"MMP10",0.449970062316404,8.54836131386755e-20,3.41934452554702e-19
"COL1A1",0.436344722392434,1.38858502598709e-18,5.04940009449852e-18
"COL1A2",0.431918380686552,3.34419749424986e-18,1.11473249808329e-17
"MMP16",0.389356507991228,8.33626470666594e-15,2.55547923788901e-14
"MMP14",0.388944379461992,8.94417733261153e-15,2.55547923788901e-14
"MMP2",0.383169187241021,2.37367250311162e-14,6.329793341631e-14
"MMP1",0.381559534864168,3.10514731372515e-14,7.76286828431288e-14
"LAMB1",0.380466912471357,3.72310978266816e-14,8.76025831216038e-14
"COL5A1",0.376653468297858,6.97768326793746e-14,1.55059628176388e-13
"COL3A1",0.373749589570897,1.11960002274053e-13,2.35705267945376e-13
"LAMA1",0.367637358841095,2.98283526607204e-13,5.96321217982277e-13
"THBS1",0.36733221962121,3.13068639440695e-13,5.96321217982277e-13
"TIMP2",0.353193061644286,2.78655411666533e-12,5.0664620303006e-12
"ITGA5",0.34506184110937,9.33383608936399e-12,1.62327584162852e-11
"MMP8",0.299690084624109,4.28354215407199e-09,7.13923692345331e-09
"ITGAV",0.298846239209649,4.75523843118151e-09,7.60838148989041e-09
"COL6A1",0.296414829589687,6.41328542229924e-09,9.86659295738344e-09
"COL4A2",0.288487630613827,1.66828754807161e-08,2.47153710825424e-08
"SERPINE1",0.279429019153688,4.80025962037583e-08,6.85751374339404e-08
"MMP13",0.266388457076285,2.05887009588759e-07,2.83982082191391e-07
"COL4A1",0.248958209063744,1.28175697230137e-06,1.70900929640183e-06
"MMP3",0.215966131927714,2.8645292104712e-05,3.69616672318865e-05
"LAMC1",0.210273318002028,4.67876352398397e-05,5.84845440497996e-05
"ITGB1",0.179928652486464,0.000514722858469575,0.000623906495114637
"FN1",0.118922264941088,0.0223254360574206,0.0262652188910831
"MMP15",0.115302160382445,0.0267766131712668,0.0306018436243049
"VEGFA",0.0893960328650632,0.086372670883588,0.0959696343150978
"ITGA6",0.0845822997018521,0.104767295944283,0.113261941561387
"CDH1",0.0729368082264515,0.162059152586913,0.170588581670435
"TIMP3",-0.0657659722769366,0.207524477763043,0.212845618218505
"TIMP4",-0.00278877763793499,0.957421956012552,0.957421956012552
