gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
CALML5,-3.08321899482631,1.00086748582231,-24.2740656923107,5.80972553165068e-88,1.23166181270994e-85,189.683054180502,Down
RHOA,0.898454791820594,13.4942911153119,21.5513532351056,2.27204992791187e-74,2.40837292358658e-72,158.419260560498,NS
RAC1,0.92738851933974,13.0903213610586,19.6832921723524,4.35638236188474e-65,3.07851020239855e-63,137.075234629085,NS
MIB2,-1.32572993348113,10.2135916824197,-19.4501010800581,6.17358779269384e-64,3.27200153012773e-62,134.428306803597,Down
CXCL2,-3.60952308450357,10.5084593572779,-19.082777536838,4.01502277287249e-62,1.70236965569793e-60,130.260530556566,Down
IRAK4,-0.876376767676771,9.02502079395085,-18.5489931315294,1.65006224977359e-59,5.83021994920001e-58,124.252733759405,NS
IKBKB,-1.08475018477456,10.0847958412098,-17.9073694867741,2.20572578628714e-56,6.68019809561249e-55,117.068839218868,Down
CALML6,-2.82335728011826,4.19646635160681,-17.7653022930834,1.08521537730663e-55,2.87582074986258e-54,115.47893408432,Down
TNFRSF10B,-1.31648780487804,11.2782438563327,-17.5305798146906,1.46964145378805e-54,3.46182209114519e-53,112.878576453713,Down
BAX,1.27786489283074,10.7399149338374,17.2196195692253,4.62074721164837e-53,9.79598408869455e-52,109.438123321351,Up
HSPA4,0.994048287755616,12.1312098298677,16.588621691622,4.78779328422301e-50,9.22738342050253e-49,102.511460889241,NS
MAPK3,0.949427962552376,10.2602041587902,16.4522038988681,2.12619104564611e-49,3.75627084730814e-48,101.024397455241,NS
CDC42,0.742622320768694,12.6073724007561,16.1348593334369,6.71694122112157e-48,1.09537810682906e-46,97.5805968657612,NS
HSP90AB1,1.12172973638829,15.1085633270321,15.4197276677561,1.47802785605096e-44,2.23815646773431e-43,89.906191640265,Up
PTK2,0.963109706824332,11.3416446124764,15.360925048033,2.76753014558719e-44,3.91144260576323e-43,89.2808551309633,NS
STAT3,-1.10653190440995,12.9974669187146,-14.8243240110891,8.11746810845787e-42,1.07556452437067e-40,83.617805133553,Down
NRAS,0.896388075880758,10.8556956521739,14.6218350676625,6.78215223030758e-41,8.45774278132474e-40,81.5021728001914,NS
ABCA1,-1.27926582902193,11.68995463138,-14.3973012303864,7.05437595021943e-40,8.30848723025844e-39,79.1685441166393,Down
CAMK2B,-3.6917494949495,6.33469092627599,-14.0200339388827,3.47625499755731e-38,3.87876873411658e-37,75.285595329006,Down
AKT2,-0.687551860064046,12.4589981096408,-12.9274622870021,2.09411200778403e-33,2.21975872825107e-32,64.3261207757805,NS
SELE,-2.54546437546193,6.20999829867675,-12.2795426917564,1.16033150138164e-30,1.17138227758528e-29,58.0402673724872,Down
PLCB2,-1.37827615176151,8.40419092627599,-12.0783412900294,7.95701380450237e-30,7.66766784797501e-29,56.1252962399297,Down
ATF6,0.775076373490979,11.5745274102079,11.8321424430463,8.17662845352154e-29,7.53671840063724e-28,53.8085476477616,NS
AKT1,-0.680468588322237,12.2555009451796,-11.8060053985062,1.04568731881586e-28,9.23690464954006e-28,53.5639899395283,NS
ERN1,-0.996649421039653,10.8377844990548,-11.7394303270706,1.95508101254775e-28,1.65790869864049e-27,52.9418982847855,NS
CALM3,0.68618502094113,12.9920982986767,11.5137290635714,1.60228599144702e-27,1.30647934687219e-26,50.8509300825771,NS
CALML3,-2.53150034491254,3.17517088846881,-11.15589755087,4.29382106711183e-26,3.37144468973225e-25,47.5835821399058,Down
MAP2K3,-0.803330130574047,11.4611758034026,-10.9692274898158,2.32255486120231e-25,1.75850582348175e-24,45.9068210718958,NS
TRAF6,-0.587809386548416,8.3239168241966,-10.8513533838696,6.69031965657703e-25,4.89085436963562e-24,44.8561744014047,NS
IRF7,-1.21671633407242,10.5635141776938,-10.7691257996593,1.39570794244352e-24,9.86300279326752e-24,44.1261059003796,Down
PYCARD,1.63052394678492,8.56846691871456,10.6971313738968,2.64595920514759e-24,1.80949468222996e-23,43.4910828920262,Up
TNFRSF1A,-0.584163833456474,12.6896219281664,-10.6497352282962,4.019822602088e-24,2.63033019038258e-23,43.0758882563294,NS
MYD88,-0.659694506035965,11.1410434782609,-10.6476565153297,4.09438190012382e-24,2.63033019038258e-23,43.0576450705512,NS
TLR2,-1.72024954422271,7.85024574669187,-10.5938696351436,6.59131005431824e-24,4.10987568092784e-23,42.5850635696943,Down
FOS,-1.99528396156688,11.2634102079395,-10.4427822225113,2.48057108482413e-23,1.50251734280776e-22,41.2697355400598,Down
HSPA5,0.884351564424721,15.0652741020794,10.3068448309197,8.08175095514559e-23,4.75925334025241e-22,40.0977725063848,NS
PPARG,1.06711071692536,9.21841020793951,10.2315777088141,1.54967887253361e-22,8.87924110748987e-22,39.4519545180785,Up
TRAF2,0.733487903424496,9.79263516068053,10.0133826974975,1.00142774530348e-21,5.58691268432467e-21,37.60127955209,NS
CYP2C8,-2.67369926090169,13.0660964083176,-9.68954856045722,1.52437861747938e-20,8.28636581809305e-20,34.9023194216643,Down
RXRA,-0.737168760778515,13.1764536862004,-9.56765778864006,4.17596609653002e-20,2.21326203116091e-19,33.9037666206211,NS
LY96,1.63606223207687,7.12122117202268,9.43778208061475,1.21277916639755e-19,6.27095568966539e-19,32.8477084530113,Up
MMP1,2.35580736634639,3.98242192816635,9.3349821991546,2.79799637662461e-19,1.41232198058195e-18,32.0198227935699,Up
MAP2K4,-0.461982779009599,9.83310396975425,-8.75275284599953,2.81689996019562e-17,1.38879718967784e-16,27.4563589061025,NS
CYP2B6,-2.23258539049027,11.4374593572779,-8.60515102749874,8.77388677785633e-17,4.22741817478532e-16,26.3332793502046,Down
IRAK1,0.737251736880999,11.9658638941399,8.54991629606214,1.33646330114048e-16,6.29622710759516e-16,25.9173776154841,NS
BID,0.617719709288007,10.7654253308129,8.54052284137937,1.43516202094469e-16,6.6142249660929e-16,25.8469628183642,NS
HRAS,0.670412835673821,9.70604914933837,8.49013728904774,2.10338477049883e-16,9.48760790097343e-16,25.4692591751874,NS
MMP9,1.90818755851196,7.77217202268431,8.13770200959499,2.9110894225495e-15,1.2845555098447e-14,22.8747438992024,Up
ABCG1,1.1042664942104,8.7135236294896,8.13501564818709,2.9690198104901e-15,1.2845555098447e-14,22.8552984862865,Up
ARHGEF1,-0.423211135747739,11.4086672967864,-8.07793428573983,4.50524707338879e-15,1.91022475911684e-14,22.4437873966599,NS
