"timestamp","stage","status","detail"
"2026-09-01 18:46:58.666","START","OK","R version: R version 4.6.1 (2026-06-24 ucrt)"
"2026-09-01 18:46:58.718","PROJECT_ROOT","OK","C:\Users\oorie\OneDrive\Documentos\TRABALHOS\HEPATO\hepatocellular-carcinoma"
"2026-09-01 18:46:58.719","PACKAGES","INFO","Instalando/carregando pacotes..."
"2026-09-01 18:47:30.620","PACKAGES","OK","27 pacotes carregados"
"2026-09-01 18:47:30.631","DATA_FILE","OK","C:\Users\oorie\OneDrive\Documentos\TRABALHOS\HEPATO\hepatocellular-carcinoma/dados/raw/liver.tsv"
"2026-09-01 18:47:30.633","IMPORT","INFO","Extensão: tsv"
"2026-09-01 18:47:32.220","IMPORT","OK","Dimensão bruta: 531 x 230"
"2026-09-01 18:47:32.234","COLUMNS","OK","meta: 17 genes: 212"
"2026-09-01 18:47:32.247","FILTER_LIVER","OK","Amostras fígado: 531"
"2026-09-01 18:47:32.253","MATRIX","OK","531 x 212"
"2026-09-01 18:47:32.254","PROGRESS","INFO","Matriz de expressão montada. Iniciando definição de condições..."
"2026-09-01 18:47:32.255","PROGRESS","INFO","Definindo condições com filtro sample_type..."
"2026-09-01 18:47:32.263","SAMPLE_TYPE_FILTER","OK","52 amostras excluídas por sample_type"
"2026-09-01 18:47:32.268","CONDITIONS","OK","Normal: 110 LIHC: 369"
"2026-09-01 18:47:32.269","QC_START","OK","Iniciando controle de qualidade pré-análise"
"2026-09-01 18:47:32.271","QC_NA","OK","NA count: 0 (0.00%)"
"2026-09-01 18:47:32.312","QC_SCALE","INFO","Range: 0.00 - 21.37 | Integer-like: FALSE | Log-scale: TRUE"
"2026-09-01 18:47:32.316","QC_DUP_GENES","OK","Sem genes duplicados"
"2026-09-01 18:47:32.319","QC_DUP_SAMPLES","OK","0 amostras duplicadas"
"2026-09-01 18:47:32.328","QC_ZERO_VAR","OK","Sem genes de variância zero"
"2026-09-01 18:47:32.330","QC_BATCH","INFO","Verificando efeito batch TCGA vs GTEx"
"2026-09-01 18:47:35.076","QC_PCA","OK","PC1: 12.4 % PC2: 11.5 %"
"2026-09-01 18:47:40.459","QC_UMAP","OK","UMAP gerado com sucesso"
"2026-09-01 18:47:40.726","QC_SAMPLES","OK","N total: 479"
"2026-09-01 18:47:40.730","QC_DONE","OK","QC pré-análise concluído"
"2026-09-01 18:47:40.732","METHOD_DECISION","OK","use_voom: FALSE limma direto em log2"
"2026-09-01 18:47:44.724","KEGG_GENES","OK","Total via LA: 216"
"2026-09-01 18:47:44.739","KEGG_GENES_IN_DATA","OK","Presentes na matriz: 212"
"2026-09-01 18:47:44.740","DE_START","OK","Iniciando análise diferencial"
"2026-09-01 18:47:44.809","DE_RESULTS","OK","Up: 12 | Down: 30 | NS: 170 | Total: 212"
"2026-09-01 18:47:44.885","DE_EXPORT","OK","Tabelas DEG exportadas"
"2026-09-01 18:47:44.886","GRUPO3_START","OK","Análise 3 grupos + sobrevivência"
"2026-09-01 18:47:44.901","GRUPO3_SAMPLES","OK","110 50 369"
"2026-09-01 18:47:44.935","GRUPO3_DE","OK","LIHC_vs_Normal : 42 DEGs"
"2026-09-01 18:47:44.946","GRUPO3_DE","OK","LIHC_vs_Adjacent : 45 DEGs"
"2026-09-01 18:47:44.962","GRUPO3_DE","OK","Adjacent_vs_Normal : 43 DEGs"
"2026-09-01 18:47:45.013","GRUPO3_COMBAT","INFO","ComBat não executado"
"2026-09-01 18:47:53.583","GRUPO3_SURV","OK","9 genes testados (log-rank)"
"2026-09-01 18:47:53.589","GRUPO3_DONE","OK","Análise 3 grupos concluída"
"2026-09-01 18:47:53.592","VOLCANO_START","OK","Gerando volcano plot da via LA"
"2026-09-01 18:47:57.842","VOLCANO_DONE","OK","Volcano plot exportado"
"2026-09-01 18:47:57.853","PPI_START","OK","Construindo rede PPI via STRINGdb"
"2026-09-01 18:48:01.084","PPI_STRINGDB","OK","STRINGdb v12.0 inicializado | score >= 700 | physical"
"2026-09-01 18:51:27.420","PPI_UNMAPPED","INFO","1 genes não mapeados no STRING"
"2026-09-01 18:52:09.548","PPI_EDGES","OK","62 interações STRING (download manual)"
"2026-09-01 18:52:09.711","PPI_HUBS","OK","6 hubs (degree >= 3.8 )"
"2026-09-01 18:52:12.941","PPI_ANNOT","OK","10 genes anotados com funções STRING"
"2026-09-01 18:52:12.979","PPI_CONSISTENCY","OK","Hubs: HSP90AB1; TLR2; CALML3; CALML5; CALML6; CAMK2A"
"2026-09-01 18:52:12.987","PPI_DONE","OK","Rede: 27 nós | 31 arestas | Maior comp: 17 nós"
"2026-09-01 18:52:12.992","GSEA_START","OK","GSEA rank-based + GSVA por amostra"
"2026-09-01 18:52:28.239","GSEA_KEGG","OK","33 conjuntos testados"
