gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
CALML5,-3.08321899482631,1.06404530271399,-24.2958149304076,1.52889017490999e-85,3.24124717080917e-83,184.183788494172,Down_LIHC
RHOA,0.898454791820594,13.5064926931106,20.7955851749406,6.5388046012634e-69,6.93113287733921e-67,145.929566652553,NS
RAC1,0.92738851933974,13.1016910229645,19.1114425006772,6.31957771793e-61,4.46583492067054e-59,127.56970164701,NS
MIB2,-1.32572993348113,10.2520083507307,-18.7587857559225,2.90695497442052e-59,1.54068613644287e-57,123.747485491359,Down_LIHC
CXCL2,-3.60952308450358,10.3728225469729,-18.4259128273311,1.0781502692288e-57,4.57135714153011e-56,120.140647834207,Down_LIHC
IRAK4,-0.876376767676771,9.05603340292276,-18.2281383061242,9.04764352574257e-57,3.19683404576238e-55,118.01717192119,NS
CALML6,-2.82335728011826,4.39868559498956,-17.6336339099317,5.470171345798e-54,1.65668046472739e-52,111.625173049717,Down_LIHC
IKBKB,-1.08475018477455,10.122993736952,-17.2970828629208,1.98972959734363e-52,5.27278343296061e-51,108.038714624599,Down_LIHC
TNFRSF10B,-1.31648780487804,11.2608371607516,-16.9202638949448,1.10190036979913e-50,2.59558753774907e-49,104.033375114349,Down_LIHC
BAX,1.27786489283074,10.8029185803758,16.8581908317559,2.13029031452842e-50,4.51621546680025e-49,103.375660949268,Up_LIHC
HSPA4,0.994048287755618,12.174133611691,15.9677668096538,2.53730140240886e-46,4.89007179373344e-45,94.0136783405432,NS
MAPK3,0.949427962552376,10.316860125261,15.9225315576061,4.0715694212485e-46,7.19310597753902e-45,93.5420122752492,NS
CDC42,0.742622320768694,12.5988100208768,15.6087956672907,1.06994301276072e-44,1.74483014388671e-43,90.2822492091981,NS
HSP90AB1,1.12172973638829,15.1805845511482,14.7889272790223,4.95291213422464e-41,7.50012408896874e-40,81.867672087056,Up_LIHC
PTK2,0.963109706824332,11.388872651357,14.7541536810121,7.05978805182409e-41,9.97783377991138e-40,81.5143868781245,NS
STAT3,-1.10653190440995,12.9591231732777,-14.5913076103249,3.69722390928485e-40,4.89882167980242e-39,79.8641199029246,Down_LIHC
NRAS,0.896388075880758,10.8767369519833,14.111929497324,4.6437979718987e-38,5.79108923554426e-37,75.0479467488789,NS
