gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
CALML5,-3.08321899482631,1.06404530271399,-24.2958149304076,1.52889017490999e-85,3.24124717080917e-83,184.183788494172,Down_LIHC
MIB2,-1.32572993348113,10.2520083507307,-18.7587857559225,2.90695497442052e-59,1.54068613644287e-57,123.747485491359,Down_LIHC
CXCL2,-3.60952308450358,10.3728225469729,-18.4259128273311,1.0781502692288e-57,4.57135714153011e-56,120.140647834207,Down_LIHC
CALML6,-2.82335728011826,4.39868559498956,-17.6336339099317,5.470171345798e-54,1.65668046472739e-52,111.625173049717,Down_LIHC
IKBKB,-1.08475018477455,10.122993736952,-17.2970828629208,1.98972959734363e-52,5.27278343296061e-51,108.038714624599,Down_LIHC
TNFRSF10B,-1.31648780487804,11.2608371607516,-16.9202638949448,1.10190036979913e-50,2.59558753774907e-49,104.033375114349,Down_LIHC
STAT3,-1.10653190440995,12.9591231732777,-14.5913076103249,3.69722390928485e-40,4.89882167980242e-39,79.8641199029246,Down_LIHC
ABCA1,-1.27926582902193,11.6266931106472,-14.0260961614474,1.09833833922229e-37,1.29359848841736e-36,74.1903120496118,Down_LIHC
CAMK2B,-3.6917494949495,6.09106993736952,-13.4407925412948,3.61843375507033e-35,4.03741029513111e-34,68.4156498578416,Down_LIHC
PLCB2,-1.37827615176151,8.3633382045929,-11.9151176662304,7.61547540471544e-29,7.68800374190321e-28,53.9256665822995,Down_LIHC
SELE,-2.54546437546194,6.0639981210856,-11.8499490763237,1.39057226671563e-28,1.34000600247142e-27,53.3269042302669,Down_LIHC
CALML3,-2.53150034491254,3.07560083507307,-11.2069303014441,4.79969063103023e-26,3.91359389914773e-25,47.5178979610247,Down_LIHC
IRF7,-1.21671633407242,10.5475511482255,-10.4509570173232,3.63240418252935e-23,2.4840957635362e-22,40.9347275470614,Down_LIHC
FOS,-1.99528396156688,10.9756868475992,-10.2525682588123,1.97501615203363e-22,1.23148065950332e-21,39.2544529844025,Down_LIHC
TLR2,-1.72024954422271,7.76526096033403,-10.2098952447052,2.83535038190481e-22,1.7174122313252e-21,38.895712830872,Down_LIHC
CYP2C8,-2.67369926090169,12.7444572025052,-9.25101273641998,7.40174650236265e-19,3.9229256462522e-18,31.097870030175,Down_LIHC
CYP2B6,-2.23258539049027,11.1248350730689,-8.28240314843265,1.21901940391827e-15,5.7429358584594e-15,23.7734031505213,Down_LIHC
CXCL3,-1.5825613205223,4.17742066805846,-7.84465407398377,2.85507923114072e-14,1.1868172490232e-13,20.6615579288545,Down_LIHC
CYP2A7,-3.31446388272974,7.92433194154489,-7.65084880123279,1.10756663660007e-13,4.43026654640028e-13,19.3254410751758,Down_LIHC
APOA4,-3.26837095343681,8.58545803757829,-7.51783042935083,2.76728717777538e-13,1.04761586015782e-12,18.4235333102113,Down_LIHC
CYP2C9,-2.00991019955653,13.2238830897704,-7.40829684746784,5.82854713419525e-13,2.0256590040154e-12,17.6902363222684,Down_LIHC
HSPA1B,-1.27129445676276,13.1263611691023,-7.09934818373444,4.55433493525811e-12,1.46290758526473e-11,15.6683079764867,Down_LIHC
HSPA6,-1.40152606553339,7.86266388308977,-7.08522210069695,4.99515171096125e-12,1.58055546675192e-11,15.5775181177244,Down_LIHC
MAPK10,-1.22578760778517,5.2582630480167,-6.93590998583583,1.31479518049677e-11,4.03966055456979e-11,14.6268662309832,Down_LIHC
MAP3K5,-1.02505232815965,8.93376409185804,-6.40365057011377,3.62792436331939e-10,9.98857097433392e-10,11.3743749556591,Down_LIHC
SELP,-1.17607812269032,5.54395699373695,-6.09184312599064,2.29576758721154e-09,5.93539912791276e-09,9.5706186849744,Down_LIHC
LBP,-1.11183106676521,14.3292227557411,-5.12405177640188,4.34558306946274e-07,9.03199618358923e-07,4.47256924263459,Down_LIHC
CYP2A6,-2.16792089184528,12.5010496868476,-4.96177552239433,9.72431136905078e-07,1.92668599087735e-06,3.69437040659113,Down_LIHC
CAMK2A,-1.09524944567627,3.08456012526096,-4.76075202389473,2.55937608715404e-06,4.84453330782728e-06,2.76175821606856,Down_LIHC
CYP1A1,-1.81900192165558,7.59584112734864,-4.70924166646163,3.2619960582983e-06,6.01341882051513e-06,2.52842494133019,Down_LIHC
