ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0010883,regulation of lipid storage,4/12,48/18842,0.0833333333333333,130.847222222222,22.7384631700052,1.80737216528255e-08,0.000106273483318614,0.000106273483318614,CD36/IKBKE/PPARG/ABCG1,4
GO:0019915,lipid storage,4/12,82/18842,0.0487804878048781,76.5934959349593,17.3177863476266,1.60593339632402e-07,0.000291505448677623,0.000291505448677623,CD36/IKBKE/PPARG/ABCG1,4
GO:0010885,regulation of cholesterol storage,3/12,19/18842,0.157894736842105,247.921052631579,27.1836604539157,1.90149570915855e-07,0.000291505448677623,0.000291505448677623,CD36/PPARG/ABCG1,3
GO:0170062,nutrient storage,4/12,87/18842,0.0459770114942529,72.1915708812261,16.8014632307807,2.0402710245258e-07,0.000291505448677623,0.000291505448677623,CD36/IKBKE/PPARG/ABCG1,4
GO:0010878,cholesterol storage,3/12,21/18842,0.142857142857143,224.309523809524,25.8471690499712,2.60802558673341e-07,0.000291505448677623,0.000291505448677623,CD36/PPARG/ABCG1,3
GO:1905954,positive regulation of lipid localization,4/12,96/18842,0.0416666666666667,65.4236111111111,15.9751083524308,3.03560994061933e-07,0.000291505448677623,0.000291505448677623,CD36/IKBKE/PPARG/ABCG1,4
GO:0090200,positive regulation of release of cytochrome c from mitochondria,3/12,23/18842,0.130434782608696,204.804347826087,24.6886037528732,3.47030296044789e-07,0.000291505448677623,0.000291505448677623,MMP9/PYCARD/BAX,3
GO:0010821,regulation of mitochondrion organization,4/12,110/18842,0.0363636363636364,57.0969696969697,14.8957065351579,5.25043055381735e-07,0.000385906645705575,0.000385906645705575,MMP9/PPARG/PYCARD/BAX,4
GO:0032496,response to lipopolysaccharide,5/12,302/18842,0.0165562913907285,25.9961368653422,11.0544957826359,7.39155034657918e-07,0.000482914622643173,0.000482914622643173,CD36/LY96/VCAM1/MMP9/PYCARD,5
GO:0002237,response to molecule of bacterial origin,5/12,319/18842,0.0156739811912226,24.610762800418,10.7366089175195,9.68535813185239e-07,0.000569499058152921,0.000569499058152921,CD36/LY96/VCAM1/MMP9/PYCARD,5
