pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0517291485033421,0.543156059285092,0.0751440930078969,-0.640062584056943,-1.47785005525414,13,TLR2;CXCL3;STAT3;JUN;MYD88;IL6;IL1B;CXCL1;FAS;TNF;TNFRSF1A
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0506245890861275,0.543156059285092,0.0721460585392845,-0.55280126855133,-1.45857491660197,24,CXCL2;FOS;TLR2;CXCL3;ABCA1;MAP2K3;JUN;CCL2;SOD2;IL6;IL1B;CXCL1;TNF
HALLMARK_COAGULATION,0.13694684472375,0.718970934799686,0.0614439060918817,0.608274108843706,1.37094078004898,7,MMP1;MMP9;RAC1;OLR1
HALLMARK_UV_RESPONSE_UP,0.133830627468188,0.718970934799686,0.0454734777155712,-0.58528816154885,-1.32942439920367,12,CXCL2;FOS;CYP1A1
HALLMARK_APICAL_JUNCTION,0.19255094869993,0.808713984539705,0.0599454721514683,0.420145624573021,1.22223871543084,16,MMP9;VCAM1;PTK2;SRC;HRAS;PIK3CB;MAPK11;ICAM1
HALLMARK_ADIPOGENESIS,0.384747005622097,0.963279857397504,0.0333861850760725,0.535714238433125,1.07805549848859,5,CD36;PPARG
HALLMARK_ALLOGRAFT_REJECTION,0.756664924202823,0.963279857397504,0.0123037011100985,-0.300707686913494,-0.799350785725798,25,TLR2;IRF7;IKBKB;CCL2;TLR6;JAK2;AKT1;IL6;IL1B;FAS;TNF;NCF4
HALLMARK_COMPLEMENT,0.720744680851064,0.963279857397504,0.0298220139040204,0.268832489667948,0.834335488637807,20,CD36;CD40LG;CCL5;HSPA5;SRC;OLR1;CALM3;LYN
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.327118179325473,0.963279857397504,0.0392078588986076,0.472546751577075,1.11077924384385,8,MMP1;VCAM1
HALLMARK_ESTROGEN_RESPONSE_LATE,0.300253592561285,0.963279857397504,0.0310506924682319,-0.640889318892292,-1.16214235252704,5,FOS;JAK2;MAPK13
HALLMARK_HYPOXIA,0.453601953601954,0.963279857397504,0.0221882261335861,-0.485288283867009,-1.02310234393838,9,FOS;VLDLR;JUN;IL6
HALLMARK_IL2_STAT5_SIGNALING,0.835559046870909,0.963279857397504,0.0210769546370241,0.306052538696795,0.689787548141004,7,TNFSF10;BCL2L1;BCL2
HALLMARK_INFLAMMATORY_RESPONSE,0.694609985432393,0.963279857397504,0.0137382861777138,-0.323135761417459,-0.845654839394887,23,SELE;TLR2;ABCA1;IRF7;CCL2;IL6;IL1B
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.574219810040706,0.963279857397504,0.0168448356136016,-0.365704357890389,-0.931977377206288,20,IRF7;SELP;STAT3;CCL2;JAK2;SOD2;MYD88;IL6;FAS;CASP7
HALLMARK_MTORC1_SIGNALING,0.873617693522907,0.963279857397504,0.0233402047005195,0.257261263638355,0.684369589709468,12,HSPA4;HSPA5;HSP90B1
HALLMARK_P53_PATHWAY,0.917409387997623,0.963279857397504,0.0113538548452559,-0.282462273735248,-0.627952478355742,11,FOS;JUN;RXRA;FAS
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.915136678906569,0.963279857397504,0.0268331920539939,0.213899719423855,0.691989219056121,23,RAC1;PLCB1;MAP2K6;TRAF2;HRAS;HSP90B1;VAV3
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.812572421784473,0.963279857397504,0.0231090202902407,0.297180197127859,0.722747926022489,9,HSPA5;ATF6;HSP90B1;EIF2S1
HALLMARK_UV_RESPONSE_DN,0.711569401784408,0.963279857397504,0.0148237159402061,-0.35941964809001,-0.816386322353758,12,VLDLR;PIK3CD;RXRA;AKT3;VAV2;MAPK14;LDLR
HALLMARK_XENOBIOTIC_METABOLISM,0.816754791804362,0.963279857397504,0.0145941818713357,-0.381768368298225,-0.722403339256082,6,CYP1A1;FAS;TNFRSF1A
HALLMARK_APOPTOSIS,0.986670151594354,0.986670151594354,0.00822008374377127,-0.195082010577647,-0.518573236476892,25,PLCB2;JUN;SOD2;IL6;IL1B;FAS;TNF;CASP7
