ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
hsa00830,Retinol metabolism,6,-0.961165048543689,-1.83998929391625,8.70103106024491e-06,0.00206214436127804,0.00206214436127804,15,"tags=100%, list=7%, signal=96%",1543/1559/1548/1555/1558/1549,0.593325476396405
hsa05219,Bladder cancer,10,0.706194115601014,1.80308503731319,0.00867849649272112,0.237077172574698,0.237077172574698,45,"tags=70%, list=21%, signal=58%",4312/4318/5595/4893/6714/3265/7157,0.380730400722792
hsa05031,Amphetamine addiction,20,-0.683213603281281,-1.74683942182344,0.0022597854047455,0.107113828184937,0.107113828184937,14,"tags=25%, list=7%, signal=26%",2353/810/163688/51806/816,0.431707695803346
hsa04520,Adherens junction,10,0.678970470848833,1.7335764625044,0.0165736752607871,0.268115124758613,0.268115124758613,32,"tags=50%, list=15%, signal=45%",5595/5879/387/6714/998,0.352487857583619
hsa00982,Drug metabolism - cytochrome P450,5,-0.966183574879227,-1.72915660847383,4.63520540379385e-05,0.00549271840349571,0.00549271840349571,13,"tags=100%, list=6%, signal=96%",1559/1548/1555/1558/1549,0.557332238758646
hsa00980,Metabolism of xenobiotics by cytochrome P450,5,-0.956521739130435,-1.71186504238909,0.000125196509581001,0.00741789319267428,0.00741789319267428,15,"tags=100%, list=7%, signal=95%",1543/1559/1548/1555/1549,0.518848077743792
hsa05204,Chemical carcinogenesis - DNA adducts,5,-0.956521739130435,-1.71186504238909,0.000125196509581001,0.00741789319267428,0.00741789319267428,15,"tags=100%, list=7%, signal=95%",1543/1559/1548/1558/1549,0.518848077743792
hsa04740,Olfactory transduction,11,-0.756846497471829,-1.67003094233507,0.00621276204602543,0.210346372129718,0.210346372129718,10,"tags=36%, list=5%, signal=37%",810/163688/51806/816,0.407017918923954
hsa04713,Circadian entrainment,20,-0.637700095327426,-1.6304705592343,0.0114048443127021,0.245722554737308,0.245722554737308,29,"tags=35%, list=14%, signal=33%",815/5330/2353/810/163688/51806/816,0.380730400722792
hsa04971,Gastric acid secretion,17,-0.657185114840307,-1.61977598892608,0.0152669440747881,0.268115124758613,0.268115124758613,29,"tags=35%, list=14%, signal=33%",815/5330/810/163688/51806/816,0.380730400722792
hsa04020,Calcium signaling pathway,27,-0.588103221483995,-1.59656821326104,0.00945777219119225,0.237077172574698,0.237077172574698,29,"tags=22%, list=14%, signal=22%",815/5330/810/163688/51806/816,0.380730400722792
hsa04925,Aldosterone synthesis and secretion,19,-0.636494828043337,-1.59357557781889,0.0158188638752164,0.268115124758613,0.268115124758613,29,"tags=32%, list=14%, signal=30%",815/5330/810/163688/51806/816,0.352487857583619
hsa05100,Bacterial invasion of epithelial cells,11,0.619474680510461,1.59306211331947,0.0385143229528294,0.434661644753361,0.434661644753361,32,"tags=55%, list=15%, signal=49%",5296/5747/5879/387/6714/998,0.321775918075361
hsa04744,Phototransduction,7,-0.797656966608433,-1.58174736190272,0.0100032562267805,0.237077172574698,0.237077172574698,10,"tags=43%, list=5%, signal=42%",810/163688/51806,0.380730400722792
hsa04114,Oocyte meiosis,23,-0.600713369758145,-1.55283718724584,0.0170429248720147,0.268115124758613,0.268115124758613,10,"tags=17%, list=5%, signal=19%",810/163688/51806/816,0.352487857583619
hsa00590,Arachidonic acid metabolism,4,-0.91928061416383,-1.53479858886063,0.00447544158903495,0.176779942766881,0.176779942766881,13,"tags=75%, list=6%, signal=72%",1559/1555/1558,0.407017918923954
hsa04924,Renin secretion,17,-0.617922295989044,-1.52300421215161,0.036979328201266,0.434661644753361,0.434661644753361,19,"tags=24%, list=9%, signal=23%",5330/810/163688/51806,0.321775918075361
hsa04670,Leukocyte transendothelial migration,30,0.437541727286945,1.50773416047946,0.0230622856569918,0.321515394159238,0.321515394159238,61,"tags=47%, list=29%, signal=39%",4318/5296/7412/5747/5879/387/1536/998/10451/5291/1535/5600/4688/3383,0.352487857583619
hsa04970,Salivary secretion,13,-0.648657426995414,-1.50166079949669,0.0502215657311669,0.485072776683514,0.485072776683514,19,"tags=31%, list=9%, signal=30%",5330/810/163688/51806,0.245041785430996
hsa04728,Dopaminergic synapse,33,-0.547170550981253,-1.49953482957121,0.0305805797226855,0.402644299682026,0.402644299682026,29,"tags=24%, list=14%, signal=25%",815/5602/5330/2353/810/163688/51806/816,0.352487857583619
hsa04922,Glucagon signaling pathway,25,-0.557669476365432,-1.48833992092362,0.046814044213264,0.485072776683514,0.485072776683514,29,"tags=24%, list=14%, signal=23%",815/5330/810/163688/51806/816,0.237793834423688
hsa04810,Regulation of actin cytoskeleton,24,0.44399643025172,1.46735814511462,0.0511680144180922,0.485072776683514,0.485072776683514,48,"tags=46%, list=23%, signal=40%",5296/5747/5595/5879/387/4893/6714/998/3265/10451/5291,0.321775918075361
hsa05416,Viral myocarditis,9,0.590755847627641,1.44451385778919,0.089171974522293,0.692115143929912,0.692115143929912,61,"tags=67%, list=29%, signal=50%",5879/959/637/841/54205/3383,0.271288554688953
hsa05203,Viral carcinogenesis,32,0.407273533462978,1.44442314179612,0.0505667578572642,0.485072776683514,0.485072776683514,50,"tags=44%, list=24%, signal=39%",5296/581/5595/5879/387/4893/6714/998/7186/3265/4067/7157/5291/841,0.321775918075361
hsa00591,Linoleic acid metabolism,3,-0.897821118541801,-1.43993531744138,0.0342785240339291,0.427579484002169,0.427579484002169,13,"tags=67%, list=6%, signal=63%",1559/1558,0.321775918075361
hsa04916,Melanogenesis,22,-0.545678672289881,-1.39993386602151,0.0700132100396301,0.596748036872653,0.596748036872653,29,"tags=27%, list=14%, signal=26%",815/5330/810/163688/51806/816,0.193813302725311
hsa05012,Parkinson disease,33,-0.506050913547881,-1.38684541600518,0.073019801980198,0.596748036872653,0.596748036872653,32,"tags=24%, list=15%, signal=24%",2081/4217/815/5602/810/163688/51806/816,0.183023938384487
hsa00983,Drug metabolism - other enzymes,2,-0.957142857142857,-1.37857926980192,0.018100599139822,0.268115124758613,0.268115124758613,12,"tags=100%, list=6%, signal=95%",1548/1549,0.352487857583619
hsa04720,Long-term potentiation,30,-0.502944023260665,-1.36458734720757,0.0951156812339332,0.692115143929912,0.692115143929912,19,"tags=17%, list=9%, signal=18%",5330/810/163688/51806/816,0.161978948883402
hsa04921,Oxytocin signaling pathway,36,-0.477367708940571,-1.36315352948142,0.0723039215686275,0.596748036872653,0.596748036872653,19,"tags=17%, list=9%, signal=18%",5330/2353/810/163688/51806/816,0.183023938384487
hsa05216,Thyroid cancer,11,0.526166260021939,1.35310701231121,0.0962099125364431,0.692115143929912,0.692115143929912,63,"tags=73%, list=30%, signal=54%",581/5468/5595/4893/3265/7157/6258/5594,0.248911114434702
hsa04261,Adrenergic signaling in cardiomyocytes,27,-0.496722334955643,-1.34848962195077,0.0963704630788486,0.692115143929912,0.692115143929912,19,"tags=19%, list=9%, signal=19%",5330/810/163688/51806/816,0.158514105424824
hsa04512,ECM-receptor interaction,1,0.971563981042654,1.29973823711245,0.0600414078674948,0.547300525561395,0.547300525561395,7,"tags=100%, list=3%, signal=97%",948,0.266350657088526
