category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,30/30,216/9423,0.138888888888889,43.625,35.8147737644953,8.13964346035185e-51,2.86515449804385e-48,2.86515449804385e-48,2921/3310/19/6401/1558/337/2353/1555/810/815/3304/1548/1549/142678/5602/163688/816/1559/51806/8795/5330/3551/3929/1543/6774/2920/6403/3665/4217/7097,30
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,10/30,196/9423,0.0510204081632653,16.0255102040816,12.0131533037452,2.52228411671181e-10,4.43922004541278e-08,4.43922004541278e-08,2921/2353/810/5602/163688/51806/3551/6774/2920/3665,10
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,8/30,120/9423,0.0666666666666667,20.94,12.4232230479322,2.53256129214726e-09,2.97153858278611e-07,2.97153858278611e-07,810/815/5602/163688/816/51806/3551/4217,8
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,8/30,133/9423,0.0601503759398496,18.8932330827068,11.7445612955545,5.7465062130137e-09,4.82877663677959e-07,4.82877663677959e-07,2353/810/815/5602/163688/816/51806/5330,8
Human Diseases,Infectious disease: viral,hsa05162,Measles,8/30,136/9423,0.0588235294117647,18.4764705882353,11.601535625464,6.85905772269828e-09,4.82877663677959e-07,4.82877663677959e-07,3310/2353/3304/5602/3551/6774/3665/7097,8
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,8/30,142/9423,0.0563380281690141,17.6957746478873,11.3287860809063,9.65411943446751e-09,5.66375006822094e-07,5.66375006822094e-07,6401/2353/810/5602/163688/51806/3551/4217,8
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,7/30,93/9423,0.0752688172043011,23.641935483871,12.4006433505127,1.22802853037195e-08,6.17522918129895e-07,6.17522918129895e-07,810/815/5602/163688/816/51806/5330,7
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,7/30,97/9423,0.0721649484536082,22.6670103092784,12.1218014921445,1.65094299901154e-08,7.2641491956508e-07,7.2641491956508e-07,2353/810/815/163688/816/51806/5330,7
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,7/30,99/9423,0.0707070707070707,22.2090909090909,11.9886017794715,1.90500279503533e-08,7.4506775983604e-07,7.4506775983604e-07,810/815/5602/163688/816/51806/5330,7
Organismal Systems,Nervous system,hsa04720,Long-term potentiation,6/30,67/9423,0.0895522388059701,28.1283582089552,12.5934818982399,5.34079751860497e-08,1.72634792723729e-06,1.72634792723729e-06,810/815/163688/816/51806/5330,6
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,6/30,69/9423,0.0869565217391304,27.3130434782609,12.3972957556399,6.38744136268556e-08,1.72634792723729e-06,1.72634792723729e-06,1558/1555/1548/1549/1559/1543,6
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,6/30,69/9423,0.0869565217391304,27.3130434782609,12.3972957556399,6.38744136268556e-08,1.72634792723729e-06,1.72634792723729e-06,2353/810/815/163688/816/51806,6
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,8/30,181/9423,0.0441988950276243,13.8828729281768,9.89006269271451,6.4758562630413e-08,1.72634792723729e-06,1.72634792723729e-06,810/815/5602/163688/816/51806/3929/7097,8
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,7/30,119/9423,0.0588235294117647,18.4764705882353,10.8423238824232,6.86615652878466e-08,1.72634792723729e-06,1.72634792723729e-06,2921/6401/2353/5602/3551/2920/4217,7
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,6/30,76/9423,0.0789473684210526,24.7973684210526,11.7714408628738,1.14711890022952e-07,2.69190568587195e-06,2.69190568587195e-06,810/815/163688/816/51806/5330,6
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,7/30,139/9423,0.0503597122302158,15.8179856115108,9.94624193958343,2.00301478087022e-07,4.40663251791448e-06,4.40663251791448e-06,3310/2353/810/3304/163688/51806/5330,7
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,7/30,154/9423,0.0454545454545455,14.2772727272727,9.38821034781269,4.03421289484665e-07,8.3531937587413e-06,8.3531937587413e-06,2353/810/815/163688/816/51806/5330,7
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,6/30,98/9423,0.0612244897959184,19.230612244898,10.2522665210015,5.26282645878396e-07,1.02917495193997e-05,1.02917495193997e-05,810/815/163688/816/51806/5330,6
Organismal Systems,Endocrine system,hsa04916,Melanogenesis,6/30,101/9423,0.0594059405940594,18.6594059405941,10.0835218482699,6.29476767031134e-07,1.16618853681558e-05,1.16618853681558e-05,810/815/163688/816/51806/5330,6
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,5/30,56/9423,0.0892857142857143,28.0446428571429,11.4710987962464,7.86120591078621e-07,1.38357224029837e-05,1.38357224029837e-05,2921/3310/3304/2920/7097,5
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,6/30,107/9423,0.0560747663551402,17.6130841121495,9.76691546845337,8.85889613301819e-07,1.48491973277257e-05,1.48491973277257e-05,810/815/163688/816/51806/5330,6
Organismal Systems,Immune system,hsa04620,Toll-like receptor signaling pathway,6/30,109/9423,0.055045871559633,17.2899082568807,9.66704603490005,9.88289250994931e-07,1.58126280159189e-05,1.58126280159189e-05,2353/5602/3551/3929/3665/7097,6
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,6/30,112/9423,0.0535714285714286,16.8267857142857,9.52211860109523,1.15991547775539e-06,1.77517499204303e-05,1.77517499204303e-05,3310/3304/5602/3551/6774/7097,6
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,5/30,70/9423,0.0714285714285714,22.4357142857143,10.1728239505423,2.41465551441156e-06,3.54149475447029e-05,3.54149475447029e-05,1558/1548/1549/1559/1543,5
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,5/30,73/9423,0.0684931506849315,21.513698630137,9.94327868372344,2.97680892842187e-06,4.19134697121799e-05,4.19134697121799e-05,1558/1555/1548/1549/1559,5
Human Diseases,Cancer: specific types,hsa05214,Glioma,5/30,76/9423,0.0657894736842105,20.6644736842105,9.72709187745484,3.63715295596201e-06,4.80695165413791e-05,4.80695165413791e-05,810/815/163688/816/51806,5
Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,7/30,214/9423,0.0327102803738318,10.2742990654206,7.75553501001721,3.68715041652624e-06,4.80695165413791e-05,4.80695165413791e-05,2353/810/5602/163688/51806/3551/7097,7
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,5/30,78/9423,0.0641025641025641,20.1346153846154,9.58975256724434,4.13775168540551e-06,5.20174497593836e-05,5.20174497593836e-05,2353/810/5602/163688/51806,5
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,5/30,79/9423,0.0632911392405063,19.879746835443,9.52298967173303,4.40753941007089e-06,5.34984093912053e-05,5.34984093912053e-05,1555/1548/1549/1559/1543,5
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,6/30,144/9423,0.0416666666666667,13.0875,8.26032551502153,5.03554059381752e-06,5.90836763007923e-05,5.90836763007923e-05,2921/5602/3551/3929/2920/4217,6
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,7/30,226/9423,0.0309734513274336,9.7287610619469,7.50608966280788,5.29141075659979e-06,6.00831156878428e-05,6.00831156878428e-05,2353/810/815/5602/163688/816/51806,7
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,6/30,154/9423,0.038961038961039,12.2376623376623,7.94602476056372,7.42075842810514e-06,8.16283427091566e-05,8.16283427091566e-05,810/815/163688/816/51806/5330,6
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,6/30,163/9423,0.0368098159509202,11.5619631901841,7.6871078558298,1.0285702382454e-05,0.000107497540500638,0.000107497540500638,2353/5602/3551/6774/3665/7097,6
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,5/30,94/9423,0.0531914893617021,16.7074468085106,8.64932057859995,1.03832851619934e-05,0.000107497540500638,0.000107497540500638,2921/2353/5602/3551/2920,5
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,5/30,103/9423,0.0485436893203884,15.247572815534,8.21639969006547,1.62319135695774e-05,0.000161943973011982,0.000161943973011982,2353/5602/5330/3551/7097,5
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,7/30,269/9423,0.0260223048327138,8.17360594795539,6.74587390372516,1.65624517853164e-05,0.000161943973011982,0.000161943973011982,810/815/5602/163688/816/51806/4217,7
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,5/30,105/9423,0.0476190476190476,14.9571428571429,8.12755348848648,1.78249699597494e-05,0.000169578092590049,0.000169578092590049,810/5602/163688/51806/3551,5
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,6/30,187/9423,0.0320855614973262,10.0780748663102,7.08602397350747,2.25128313583324e-05,0.000208539911529816,0.000208539911529816,2921/5602/5330/3551/2920/3665,6
Organismal Systems,Endocrine system,hsa04924,Renin secretion,4/30,69/9423,0.0579710144927536,18.2086956521739,8.10781503648755,6.25071162240893e-05,0.000560723131315098,0.000560723131315098,810/163688/51806/5330,4
Cellular Processes,Cell growth and death,hsa04114,Oocyte meiosis,5/30,138/9423,0.036231884057971,11.3804347826087,6.94215249756853,6.64957534202148e-05,0.000560723131315098,0.000560723131315098,810/815/163688/816/51806,5
