category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,12/12,216/9423,0.0555555555555556,43.625,22.6295794084085,1.55273395564548e-20,5.4656235238721e-18,5.4656235238721e-18,4312/948/23643/7412/9641/5296/4318/5468/3326/29108/9619/581,12
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,4/12,94/9423,0.0425531914893617,33.4148936170213,11.2780824997721,4.32440643661838e-06,0.000761095532844835,0.000761095532844835,4312/9641/4318/3326,4
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,4/12,142/9423,0.028169014084507,22.1197183098592,9.0548069078955,2.2277724838847e-05,0.00261391971442472,0.00261391971442472,7412/5296/4318/3326,4
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,4/12,163/9423,0.0245398773006135,19.2699386503068,8.40174863581497,3.83367100173167e-05,0.00337363048152386,0.00337363048152386,9641/5296/4318/581,4
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,4/12,173/9423,0.023121387283237,18.1560693641618,8.13231635814162,4.84177963883655e-05,0.00340861286574093,0.00340861286574093,9641/5296/29108/581,4
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,3/12,77/9423,0.038961038961039,30.5941558441559,9.31070822226434,0.000109468984510645,0.00642218042462453,0.00642218042462453,4312/948/5468,3
Organismal Systems,Aging,hsa04211,Longevity regulating pathway,3/12,90/9423,0.0333333333333333,26.175,8.56888643917598,0.000174173395695087,0.00829389270232838,0.00829389270232838,5296/5468/581,3
Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,4/12,249/9423,0.0160642570281124,12.6144578313253,6.63229039331453,0.000199322227095822,0.00829389270232838,0.00829389270232838,23643/3326/29108/581,4
Human Diseases,Drug resistance: antineoplastic,hsa01522,Endocrine resistance,3/12,99/9423,0.0303030303030303,23.7954545454546,8.14158586808482,0.000231040722312744,0.00829389270232838,0.00829389270232838,5296/4318/581,3
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,3/12,101/9423,0.0297029702970297,23.3242574257426,8.0542933950398,0.000245124818631644,0.00829389270232838,0.00829389270232838,7412/5296/581,3
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,3/12,105/9423,0.0285714285714286,22.4357142857143,7.88706722434386,0.000274941831900462,0.00829389270232838,0.00829389270232838,9641/5296/29108,3
Human Diseases,Cancer: specific types,hsa05215,Prostate cancer,3/12,106/9423,0.0283018867924528,22.2240566037736,7.84670935314685,0.000282746342124831,0.00829389270232838,0.00829389270232838,5296/4318/3326,3
Organismal Systems,Immune system,hsa04620,Toll-like receptor signaling pathway,3/12,109/9423,0.0275229357798165,21.6123853211009,7.72889969077212,0.000307018859333717,0.00831312603734372,0.00831312603734372,23643/9641/5296,3
Organismal Systems,Immune system,hsa04670,Leukocyte transendothelial migration,3/12,116/9423,0.0258620689655172,20.3081896551724,7.47153749004088,0.00036881101849292,0.00927296275067913,0.00927296275067913,7412/5296/4318,3
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,3/12,119/9423,0.0252100840336134,19.796218487395,7.36806418966405,0.000397576068737851,0.0093297850797149,0.0093297850797149,7412/5296/4318,3
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,3/12,122/9423,0.0245901639344262,19.3094262295082,7.26832124940309,0.000427753872648267,0.00941058519826188,0.00941058519826188,948/5296/5468,3
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,3/12,130/9423,0.0230769230769231,18.1211538461538,7.0189318163167,0.00051535794788087,0.0106709410384745,0.0106709410384745,4312/5296/4318,3
Human Diseases,Infectious disease: viral,hsa05162,Measles,3/12,136/9423,0.0220588235294118,17.3216911764706,6.84606745494938,0.000588121139585708,0.011501035618565,0.011501035618565,9641/5296/581,3
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,3/12,139/9423,0.0215827338129496,16.9478417266187,6.76372649003991,0.000626852416797727,0.0116132658269895,0.0116132658269895,5296/4318/3326,3
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,3/12,156/9423,0.0192307692307692,15.1009615384615,6.34140852247278,0.000877421033814244,0.014982949376944,0.014982949376944,9641/5296/581,3
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,3/12,157/9423,0.0191082802547771,15.0047770700637,6.31864803324112,0.000893869138965409,0.014982949376944,0.014982949376944,5296/5468/581,3
Human Diseases,Cancer: specific types,hsa05216,Thyroid cancer,2/12,37/9423,0.0540540540540541,42.4459459459459,9.01959276589038,0.000965956195649423,0.0154552991303908,0.0154552991303908,5468/581,2
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,3/12,168/9423,0.0178571428571429,14.0223214285714,6.0813377795423,0.00108794713644851,0.0166503213926034,0.0166503213926034,3326/29108/581,3
Human Diseases,Cancer: specific types,hsa05219,Bladder cancer,2/12,41/9423,0.0487804878048781,38.3048780487805,8.54779552943284,0.00118595375052991,0.0173939883411054,0.0173939883411054,4312/4318,2
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,3/12,180/9423,0.0166666666666667,13.0875,5.84669648714453,0.00132819198917513,0.0187009432075858,0.0187009432075858,9641/5296/581,3
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,3/12,187/9423,0.0160427807486631,12.5975935828877,5.71993393857754,0.0014826831153533,0.0200732483309369,0.0200732483309369,9641/3326/29108,3
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,3/12,196/9423,0.0153061224489796,12.0191326530612,5.56659304895793,0.00169743753177796,0.0219250645360607,0.0219250645360607,9641/5296/581,3
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,2/12,50/9423,0.04,31.41,7.69850506897789,0.00176045221912257,0.0219250645360607,0.0219250645360607,948/7412,2
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,3/12,201/9423,0.0149253731343284,11.7201492537313,5.48568149040684,0.00182479087367926,0.0219250645360607,0.0219250645360607,4318/5468/581,3
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,3/12,205/9423,0.0146341463414634,11.4914634146341,5.42299164602517,0.00193090056993716,0.0219250645360607,0.0219250645360607,9641/5296/581,3
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,3/12,205/9423,0.0146341463414634,11.4914634146341,5.42299164602517,0.00193090056993716,0.0219250645360607,0.0219250645360607,948/5296/4318,3
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,3/12,217/9423,0.0138248847926267,10.8559907834101,5.24492106593457,0.0022723142166274,0.0249954563829014,0.0249954563829014,9641/5296/3326,3
Human Diseases,Cancer: specific types,hsa05213,Endometrial cancer,2/12,59/9423,0.0338983050847458,26.6186440677966,7.04848418196442,0.00244327683499488,0.0260616195732788,0.0260616195732788,5296/581,2
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease,3/12,239/9423,0.0125523012552301,9.85669456066946,4.95220901837392,0.00299182442094305,0.0309741822403515,0.0309741822403515,4312/9641/5296,3
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,3/12,253/9423,0.0118577075098814,9.31126482213439,4.78505572185622,0.00351570044844346,0.0345748420744398,0.0345748420744398,5296/29108/581,3
Human Diseases,Cancer: specific types,hsa05218,Melanoma,2/12,73/9423,0.0273972602739726,21.513698630137,6.28266469119287,0.00371575181875055,0.0345748420744398,0.0345748420744398,5296/581,2
Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,2/12,73/9423,0.0273972602739726,21.513698630137,6.28266469119287,0.00371575181875055,0.0345748420744398,0.0345748420744398,5296/581,2
Cellular Processes,Transport and catabolism,hsa04145,Phagocytosis,3/12,260/9423,0.0115384615384615,9.06057692307692,4.70628522197096,0.00379761750660374,0.0345748420744398,0.0345748420744398,948/5296/4318,3
Human Diseases,Drug resistance: antineoplastic,hsa01524,Platinum drug resistance,2/12,75/9423,0.0266666666666667,20.94,6.19071370401052,0.00391804937527734,0.0345748420744398,0.0345748420744398,5296/581,2
