ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-211981,Xenobiotics,6/28,25/11287,0.24,96.7457142857143,23.8990542641839,2.2536622034775e-11,2.5401356236789e-08,2.5401356236789e-08,CYP2A7/CYP2C9/CYP2C8/CYP2A6/CYP1A1/CYP2B6,6
R-HSA-211999,CYP2E1 reactions,5/28,11/11287,0.454545454545455,183.23051948052,30.1535917946764,2.94679306691288e-11,2.5401356236789e-08,2.5401356236789e-08,CYP2A7/CYP2C9/CYP2C8/CYP2A6/CYP2B6,5
R-HSA-211897,Cytochrome P450 - arranged by substrate type,6/28,67/11287,0.0895522388059701,36.0991471215352,14.3693348591567,1.18362767516937e-08,6.80191370663995e-06,6.80191370663995e-06,CYP2A7/CYP2C9/CYP2C8/CYP2A6/CYP1A1/CYP2B6,6
R-HSA-211945,Phase I - Functionalization of compounds,6/28,106/11287,0.0566037735849057,22.8173854447439,11.2541951668729,1.89507490417183e-07,8.16777283698059e-05,8.16777283698059e-05,CYP2A7/CYP2C9/CYP2C8/CYP2A6/CYP1A1/CYP2B6,6
R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,6/28,146/11287,0.0410958904109589,16.5660469667319,9.44043065237438,1.25909293925721e-06,0.000434135245455887,0.000434135245455887,MAPK10/FOS/IKBKB/LBP/TLR2/IRF7,6
R-HSA-168898,Toll-like Receptor Cascades,6/28,171/11287,0.0350877192982456,14.1441102756892,8.63682478714164,3.1645890580196e-06,0.000909291922670964,0.000909291922670964,MAPK10/FOS/IKBKB/LBP/TLR2/IRF7,6
R-HSA-9018677,Biosynthesis of DHA-derived SPMs,3/28,17/11287,0.176470588235294,71.1365546218487,14.4313200913323,9.08395910143293e-06,0.00223724935583862,0.00223724935583862,CYP2C9/CYP2C8/CYP1A1,3
R-HSA-211859,Biological oxidations,6/28,217/11287,0.0276497695852535,11.1458196181699,7.52562064323893,1.24638278997988e-05,0.00247138923316417,0.00247138923316417,CYP2A7/CYP2C9/CYP2C8/CYP2A6/CYP1A1/CYP2B6,6
R-HSA-9018678,Biosynthesis of specialized proresolving mediators (SPMs),3/28,19/11287,0.157894736842105,63.6484962406015,13.6289739495548,1.29016839318315e-05,0.00247138923316417,0.00247138923316417,CYP2C9/CYP2C8/CYP1A1,3
R-HSA-3371571,HSF1-dependent transactivation,3/28,24/11287,0.125,50.3883928571429,12.0782107133562,2.67254212881734e-05,0.0046074626300811,0.0046074626300811,CAMK2B/HSPA1B/CAMK2A,3
R-HSA-913531,Interferon Signaling,6/28,266/11287,0.0225563909774436,9.09264232008593,6.66069875238411,3.94324860302133e-05,0.00618014599237162,0.00618014599237162,CAMK2B/IKBKB/HSPA1B/CAMK2A/STAT3/IRF7,6
R-HSA-3371556,Cellular response to heat stress,4/28,89/11287,0.0449438202247191,18.1171749598716,8.08455259174818,6.39964462948094e-05,0.00919415611768761,0.00919415611768761,CAMK2B/HSPA6/HSPA1B/CAMK2A,4
R-HSA-975155,MyD88 dependent cascade initiated on endosome,4/28,103/11287,0.0388349514563107,15.6546463245492,7.45065585517169,0.000113153556644528,0.0134933423945685,0.0134933423945685,MAPK10/FOS/IKBKB/IRF7,4
R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,4/28,105/11287,0.0380952380952381,15.356462585034,7.37023741893393,0.000121924239339371,0.0134933423945685,0.0134933423945685,MAPK10/FOS/IKBKB/IRF7,4
R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,4/28,107/11287,0.0373831775700935,15.0694259012016,7.29199719084929,0.000131178568322639,0.0134933423945685,0.0134933423945685,MAPK10/FOS/IKBKB/IRF7,4
