ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,4/12,104/11287,0.0384615384615385,36.1762820512821,11.7568184765896,3.18135116645694e-06,0.00548464941097176,0.00548464941097176,CD36/MMP1/VCAM1/MMP9,4
R-HSA-449147,Signaling by Interleukins,5/12,456/11287,0.0109649122807018,10.3134137426901,6.62307100041232,6.58836738407744e-05,0.0370748617170152,0.0370748617170152,CD36/MMP1/VCAM1/PIK3R2/MMP9,5
R-HSA-9824878,"Regulation of TBK1, IKKε (IKBKE)-mediated activation of IRF3, IRF7",2/12,15/11287,0.133333333333333,125.411111111111,15.7292016062769,0.000107971348354723,0.0370748617170152,0.0370748617170152,LY96/IKBKE,2
R-HSA-844456,The NLRP3 inflammasome,2/12,16/11287,0.125,117.572916666667,15.2222482344381,0.000123322937210492,0.0370748617170152,0.0370748617170152,HSP90AB1/PYCARD,2
R-HSA-5602498,MyD88 deficiency (TLR2/4),2/12,17/11287,0.117647058823529,110.656862745098,14.7604871168484,0.00013968343686256,0.0370748617170152,0.0370748617170152,LY96/CD36,2
R-HSA-5603041,IRAK4 deficiency (TLR2/4),2/12,18/11287,0.111111111111111,104.509259259259,14.3375562408986,0.000157051043580612,0.0370748617170152,0.0370748617170152,LY96/CD36,2
R-HSA-936964,"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",2/12,19/11287,0.105263157894737,99.0087719298246,13.9482813674401,0.000175423955800464,0.0370748617170152,0.0370748617170152,LY96/IKBKE,2
R-HSA-9918481,Dengue Virus-Host Interactions,4/12,292/11287,0.0136986301369863,12.884703196347,6.71250341878581,0.000184338584789534,0.0370748617170152,0.0370748617170152,LY96/HSP90AB1/IKBKE/MMP9,4
R-HSA-9006931,Signaling by Nuclear Receptors,4/12,296/11287,0.0135135135135135,12.7105855855856,6.66052150318832,0.000194255491031008,0.0370748617170152,0.0370748617170152,HSP90AB1/ABCG1/PIK3R2/MMP9,4
R-HSA-622312,Inflammasomes,2/12,21/11287,0.0952380952380952,89.5793650793651,13.254388853487,0.000215178501307205,0.0370748617170152,0.0370748617170152,HSP90AB1/PYCARD,2
R-HSA-5686938,Regulation of TLR by endogenous ligand,2/12,22/11287,0.0909090909090909,85.5075757575758,12.9432624224907,0.000236556542277939,0.0370748617170152,0.0370748617170152,LY96/CD36,2
R-HSA-9660826,Purinergic signaling in leishmaniasis infection,2/12,24/11287,0.0833333333333333,78.3819444444444,12.3799983824025,0.000282305196051319,0.0374380121532673,0.0374380121532673,HSP90AB1/PYCARD,2
R-HSA-9664424,Cell recruitment (pro-inflammatory response),2/12,24/11287,0.0833333333333333,78.3819444444444,12.3799983824025,0.000282305196051319,0.0374380121532673,0.0374380121532673,HSP90AB1/PYCARD,2
