from,to,combined_score,from_gene,to_gene
9606.ENSP00000217407,9606.ENSP00000284818,0.89,LBP,LY96
9606.ENSP00000260010,9606.ENSP00000364801,0.997,TLR2,HSPA1B
9606.ENSP00000260010,9606.ENSP00000415743,0.982,TLR2,CD36
9606.ENSP00000260010,9606.ENSP00000284818,0.954,TLR2,LY96
9606.ENSP00000260010,9606.ENSP00000360609,0.971,TLR2,HSP90AB1
9606.ENSP00000260010,9606.ENSP00000310219,0.9,TLR2,HSPA6
9606.ENSP00000260682,9606.ENSP00000360317,0.9,CYP2C9,CYP2C8
9606.ENSP00000260682,9606.ENSP00000324648,0.9,CYP2C9,CYP2B6
9606.ENSP00000263686,9606.ENSP00000331736,0.913,SELP,SELE
9606.ENSP00000264657,9606.ENSP00000360609,0.707,STAT3,HSP90AB1
9606.ENSP00000264657,9606.ENSP00000306245,0.962,STAT3,FOS
9606.ENSP00000284818,9606.ENSP00000217407,0.89,LY96,LBP
9606.ENSP00000284818,9606.ENSP00000260010,0.954,LY96,TLR2
9606.ENSP00000296026,9606.ENSP00000427279,0.98,CXCL3,CXCL2
9606.ENSP00000301141,9606.ENSP00000324648,0.918,CYP2A6,CYP2B6
9606.ENSP00000304643,9606.ENSP00000360609,0.989,CALML6,HSP90AB1
9606.ENSP00000304643,9606.ENSP00000369689,0.961,CALML6,CALML5
9606.ENSP00000304643,9606.ENSP00000315299,0.961,CALML6,CALML3
9606.ENSP00000304643,9606.ENSP00000500386,0.982,CALML6,CAMK2A
9606.ENSP00000306245,9606.ENSP00000264657,0.962,FOS,STAT3
9606.ENSP00000310219,9606.ENSP00000364801,0.88,HSPA6,HSPA1B
9606.ENSP00000310219,9606.ENSP00000260010,0.9,HSPA6,TLR2
9606.ENSP00000315299,9606.ENSP00000500386,0.986,CALML3,CAMK2A
9606.ENSP00000315299,9606.ENSP00000369689,0.961,CALML3,CALML5
9606.ENSP00000315299,9606.ENSP00000304643,0.961,CALML3,CALML6
9606.ENSP00000315299,9606.ENSP00000379098,0.747,CALML3,CAMK2B
9606.ENSP00000315299,9606.ENSP00000360609,0.989,CALML3,HSP90AB1
9606.ENSP00000322788,9606.ENSP00000361405,0.962,MMP1,MMP9
9606.ENSP00000324648,9606.ENSP00000301141,0.918,CYP2B6,CYP2A6
9606.ENSP00000324648,9606.ENSP00000260682,0.9,CYP2B6,CYP2C9
9606.ENSP00000331736,9606.ENSP00000263686,0.913,SELE,SELP
9606.ENSP00000360317,9606.ENSP00000260682,0.9,CYP2C8,CYP2C9
9606.ENSP00000360609,9606.ENSP00000369689,0.989,HSP90AB1,CALML5
9606.ENSP00000360609,9606.ENSP00000304643,0.989,HSP90AB1,CALML6
9606.ENSP00000360609,9606.ENSP00000315299,0.989,HSP90AB1,CALML3
9606.ENSP00000360609,9606.ENSP00000364801,0.909,HSP90AB1,HSPA1B
9606.ENSP00000360609,9606.ENSP00000430684,0.943,HSP90AB1,IKBKB
9606.ENSP00000360609,9606.ENSP00000260010,0.971,HSP90AB1,TLR2
9606.ENSP00000360609,9606.ENSP00000264657,0.707,HSP90AB1,STAT3
9606.ENSP00000361405,9606.ENSP00000322788,0.962,MMP9,MMP1
9606.ENSP00000364801,9606.ENSP00000260010,0.997,HSPA1B,TLR2
9606.ENSP00000364801,9606.ENSP00000360609,0.909,HSPA1B,HSP90AB1
9606.ENSP00000364801,9606.ENSP00000310219,0.88,HSPA1B,HSPA6
9606.ENSP00000369689,9606.ENSP00000360609,0.989,CALML5,HSP90AB1
9606.ENSP00000369689,9606.ENSP00000500386,0.986,CALML5,CAMK2A
9606.ENSP00000369689,9606.ENSP00000379098,0.747,CALML5,CAMK2B
9606.ENSP00000369689,9606.ENSP00000304643,0.961,CALML5,CALML6
9606.ENSP00000369689,9606.ENSP00000315299,0.961,CALML5,CALML3
9606.ENSP00000379098,9606.ENSP00000369689,0.747,CAMK2B,CALML5
9606.ENSP00000379098,9606.ENSP00000315299,0.747,CAMK2B,CALML3
9606.ENSP00000379098,9606.ENSP00000500386,0.998,CAMK2B,CAMK2A
9606.ENSP00000380697,9606.ENSP00000464030,0.943,IRF7,IKBKE
9606.ENSP00000415743,9606.ENSP00000260010,0.982,CD36,TLR2
9606.ENSP00000427279,9606.ENSP00000296026,0.98,CXCL2,CXCL3
9606.ENSP00000430684,9606.ENSP00000464030,0.723,IKBKB,IKBKE
9606.ENSP00000430684,9606.ENSP00000360609,0.943,IKBKB,HSP90AB1
9606.ENSP00000464030,9606.ENSP00000430684,0.723,IKBKE,IKBKB
9606.ENSP00000464030,9606.ENSP00000380697,0.943,IKBKE,IRF7
9606.ENSP00000500386,9606.ENSP00000379098,0.998,CAMK2A,CAMK2B
9606.ENSP00000500386,9606.ENSP00000304643,0.982,CAMK2A,CALML6
9606.ENSP00000500386,9606.ENSP00000315299,0.986,CAMK2A,CALML3
9606.ENSP00000500386,9606.ENSP00000369689,0.986,CAMK2A,CALML5
