gene_symbol,degree,betweenness,closeness,eigenvector,regulation,is_DEG_LA
HSP90AB1,7,0.28,649.6143,0.9685,Up_LIHC,TRUE
TLR2,5,0.1262,522.4319,0.4006,Down_LIHC,TRUE
CALML3,5,0.02,477.9115,1,Down_LIHC,TRUE
CALML5,5,0.02,477.9115,1,Down_LIHC,TRUE
CALML6,4,0.0369,464.63,0.9137,Down_LIHC,TRUE
CAMK2A,4,0,351.1853,0.8477,Down_LIHC,TRUE
HSPA1B,3,0.0338,486.1006,0.3506,Down_LIHC,TRUE
CAMK2B,3,0,372.1969,0.5759,Down_LIHC,TRUE
CYP2C9,2,0.0062,829.1874,0,Down_LIHC,TRUE
STAT3,2,0.0462,473.0789,0.1785,Down_LIHC,TRUE
LY96,2,0.0462,371.8509,0.0988,Up_LIHC,TRUE
HSPA6,2,0,379.084,0.1647,Down_LIHC,TRUE
CYP2B6,2,0.0062,829.1874,0,Down_LIHC,TRUE
IKBKB,2,0.0862,457.1037,0.2326,Down_LIHC,TRUE
IKBKE,2,0.0462,360.3441,0.0437,Up_LIHC,TRUE
LBP,1,0,283.7986,0.0216,Down_LIHC,TRUE
SELP,1,0,1095.2903,0,Down_LIHC,TRUE
CXCL3,1,0,1020.4082,0,Down_LIHC,TRUE
CYP2A6,1,0,550.055,0,Down_LIHC,TRUE
FOS,1,0,331.5993,0.0423,Down_LIHC,TRUE
MMP1,1,0,1039.501,0,Up_LIHC,TRUE
SELE,1,0,1095.2903,0,Down_LIHC,TRUE
CYP2C8,1,0,553.7099,0,Down_LIHC,TRUE
MMP9,1,0,1039.501,0,Up_LIHC,TRUE
IRF7,1,0,273.2847,0.0102,Down_LIHC,TRUE
CD36,1,0,352.7648,0.0968,Up_LIHC,TRUE
CXCL2,1,0,1020.4082,0,Down_LIHC,TRUE
