pathway_id,pathway_name,gene_symbol
hsa05417,Lipid and Atherosclerosis,ABCA1
hsa05417,Lipid and Atherosclerosis,ABCG1
hsa05417,Lipid and Atherosclerosis,AGER
hsa05417,Lipid and Atherosclerosis,AKT1
hsa05417,Lipid and Atherosclerosis,AKT2
hsa05417,Lipid and Atherosclerosis,AKT3
hsa05417,Lipid and Atherosclerosis,APAF1
hsa05417,Lipid and Atherosclerosis,APOA1
hsa05417,Lipid and Atherosclerosis,APOA4
hsa05417,Lipid and Atherosclerosis,APOB
hsa05417,Lipid and Atherosclerosis,ARHGEF1
hsa05417,Lipid and Atherosclerosis,ATF4
hsa05417,Lipid and Atherosclerosis,ATF6
hsa05417,Lipid and Atherosclerosis,BAD
hsa05417,Lipid and Atherosclerosis,BAX
hsa05417,Lipid and Atherosclerosis,BCL2
hsa05417,Lipid and Atherosclerosis,BCL2L1
hsa05417,Lipid and Atherosclerosis,BID
hsa05417,Lipid and Atherosclerosis,CALM1
hsa05417,Lipid and Atherosclerosis,CALM2
hsa05417,Lipid and Atherosclerosis,CALM3
hsa05417,Lipid and Atherosclerosis,CALML3
hsa05417,Lipid and Atherosclerosis,CALML4
hsa05417,Lipid and Atherosclerosis,CALML5
hsa05417,Lipid and Atherosclerosis,CALML6
hsa05417,Lipid and Atherosclerosis,CAMK2A
hsa05417,Lipid and Atherosclerosis,CAMK2B
hsa05417,Lipid and Atherosclerosis,CAMK2D
hsa05417,Lipid and Atherosclerosis,CAMK2G
hsa05417,Lipid and Atherosclerosis,CASP1
hsa05417,Lipid and Atherosclerosis,CASP3
hsa05417,Lipid and Atherosclerosis,CASP6
hsa05417,Lipid and Atherosclerosis,CASP7
hsa05417,Lipid and Atherosclerosis,CASP8
hsa05417,Lipid and Atherosclerosis,CASP9
hsa05417,Lipid and Atherosclerosis,CCL2
hsa05417,Lipid and Atherosclerosis,CCL3
hsa05417,Lipid and Atherosclerosis,CCL3L1
hsa05417,Lipid and Atherosclerosis,CCL3L3
hsa05417,Lipid and Atherosclerosis,CCL5
hsa05417,Lipid and Atherosclerosis,CD14
hsa05417,Lipid and Atherosclerosis,CD36
hsa05417,Lipid and Atherosclerosis,CD40
hsa05417,Lipid and Atherosclerosis,CD40LG
hsa05417,Lipid and Atherosclerosis,CDC42
hsa05417,Lipid and Atherosclerosis,CHUK
hsa05417,Lipid and Atherosclerosis,CXCL1
hsa05417,Lipid and Atherosclerosis,CXCL2
hsa05417,Lipid and Atherosclerosis,CXCL3
hsa05417,Lipid and Atherosclerosis,CXCL8
hsa05417,Lipid and Atherosclerosis,CYBA
hsa05417,Lipid and Atherosclerosis,CYBB
hsa05417,Lipid and Atherosclerosis,CYCS
hsa05417,Lipid and Atherosclerosis,CYP1A1
hsa05417,Lipid and Atherosclerosis,CYP2A6
hsa05417,Lipid and Atherosclerosis,CYP2A7
hsa05417,Lipid and Atherosclerosis,CYP2B6
hsa05417,Lipid and Atherosclerosis,CYP2C8
hsa05417,Lipid and Atherosclerosis,CYP2C9
hsa05417,Lipid and Atherosclerosis,CYP2J2
hsa05417,Lipid and Atherosclerosis,DDIT3
hsa05417,Lipid and Atherosclerosis,EIF2AK3
hsa05417,Lipid and Atherosclerosis,EIF2S1
hsa05417,Lipid and Atherosclerosis,ERN1
hsa05417,Lipid and Atherosclerosis,ERO1A
hsa05417,Lipid and Atherosclerosis,FAS
hsa05417,Lipid and Atherosclerosis,FASLG
hsa05417,Lipid and Atherosclerosis,FOS
hsa05417,Lipid and Atherosclerosis,GSK3B
hsa05417,Lipid and Atherosclerosis,HRAS
hsa05417,Lipid and Atherosclerosis,HSP90AA1
hsa05417,Lipid and Atherosclerosis,HSP90AB1
hsa05417,Lipid and Atherosclerosis,HSP90B1
hsa05417,Lipid and Atherosclerosis,HSPA1A
hsa05417,Lipid and Atherosclerosis,HSPA1B
hsa05417,Lipid and Atherosclerosis,HSPA1L
hsa05417,Lipid and Atherosclerosis,HSPA2
hsa05417,Lipid and Atherosclerosis,HSPA4
hsa05417,Lipid and Atherosclerosis,HSPA5
hsa05417,Lipid and Atherosclerosis,HSPA6
hsa05417,Lipid and Atherosclerosis,HSPA8
hsa05417,Lipid and Atherosclerosis,HSPD1
hsa05417,Lipid and Atherosclerosis,ICAM1
hsa05417,Lipid and Atherosclerosis,IFNA1
hsa05417,Lipid and Atherosclerosis,IFNA10
hsa05417,Lipid and Atherosclerosis,IFNA13
hsa05417,Lipid and Atherosclerosis,IFNA14
hsa05417,Lipid and Atherosclerosis,IFNA16
hsa05417,Lipid and Atherosclerosis,IFNA17
hsa05417,Lipid and Atherosclerosis,IFNA2
hsa05417,Lipid and Atherosclerosis,IFNA21
hsa05417,Lipid and Atherosclerosis,IFNA4
hsa05417,Lipid and Atherosclerosis,IFNA5
hsa05417,Lipid and Atherosclerosis,IFNA6
hsa05417,Lipid and Atherosclerosis,IFNA7
hsa05417,Lipid and Atherosclerosis,IFNA8
hsa05417,Lipid and Atherosclerosis,IFNB1
hsa05417,Lipid and Atherosclerosis,IKBKB
hsa05417,Lipid and Atherosclerosis,IKBKE
hsa05417,Lipid and Atherosclerosis,IKBKG
hsa05417,Lipid and Atherosclerosis,IL12A
hsa05417,Lipid and Atherosclerosis,IL12B
hsa05417,Lipid and Atherosclerosis,IL18
hsa05417,Lipid and Atherosclerosis,IL1B
hsa05417,Lipid and Atherosclerosis,IL6
hsa05417,Lipid and Atherosclerosis,IRAK1
hsa05417,Lipid and Atherosclerosis,IRAK4
hsa05417,Lipid and Atherosclerosis,IRF3
