gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation,volcano_class,label
CALML5,-3.08321899482631,1.06404530271399,-24.2958149304076,1.52889017490999e-85,3.24124717080917e-83,184.183788494172,Down_LIHC,Down_LIHC,CALML5
CXCL2,-3.60952308450358,10.3728225469729,-18.4259128273311,1.0781502692288e-57,4.57135714153011e-56,120.140647834207,Down_LIHC,Down_LIHC,CXCL2
CALML6,-2.82335728011826,4.39868559498956,-17.6336339099317,5.470171345798e-54,1.65668046472739e-52,111.625173049717,Down_LIHC,Down_LIHC,CALML6
BAX,1.27786489283074,10.8029185803758,16.8581908317559,2.13029031452842e-50,4.51621546680025e-49,103.375660949268,Up_LIHC,Up_LIHC,BAX
HSP90AB1,1.12172973638829,15.1805845511482,14.7889272790223,4.95291213422464e-41,7.50012408896874e-40,81.867672087056,Up_LIHC,Up_LIHC,HSP90AB1
CAMK2B,-3.6917494949495,6.09106993736952,-13.4407925412948,3.61843375507033e-35,4.03741029513111e-34,68.4156498578416,Down_LIHC,Down_LIHC,CAMK2B
SELE,-2.54546437546194,6.0639981210856,-11.8499490763237,1.39057226671563e-28,1.34000600247142e-27,53.3269042302669,Down_LIHC,Down_LIHC,SELE
CALML3,-2.53150034491254,3.07560083507307,-11.2069303014441,4.79969063103023e-26,3.91359389914773e-25,47.5178979610247,Down_LIHC,Down_LIHC,CALML3
PYCARD,1.63052394678492,8.58450939457203,10.3268055526705,1.05053390214972e-22,6.95978710174192e-22,39.8808211080838,Up_LIHC,Up_LIHC,PYCARD
CYP2C8,-2.67369926090169,12.7444572025052,-9.25101273641998,7.40174650236265e-19,3.9229256462522e-18,31.097870030175,Down_LIHC,Down_LIHC,CYP2C8
MMP1,2.35580736634639,4.09607139874739,9.21988034839884,9.47383296418044e-19,4.89866484977135e-18,30.8534943234095,Up_LIHC,Up_LIHC,MMP1
LY96,1.63606223207687,7.11022129436326,9.13506859955244,1.85053529611445e-18,9.34079720895864e-18,30.1906838086049,Up_LIHC,Up_LIHC,LY96
CYP2B6,-2.23258539049027,11.1248350730689,-8.28240314843265,1.21901940391827e-15,5.7429358584594e-15,23.7734031505213,Down_LIHC,Down_LIHC,CYP2B6
MMP9,1.90818755851196,7.87446346555324,8.00470320132637,9.14514561222162e-15,4.03910597873121e-14,21.7843743374431,Up_LIHC,Up_LIHC,MMP9
CYP2A7,-3.31446388272974,7.92433194154489,-7.65084880123279,1.10756663660007e-13,4.43026654640028e-13,19.3254410751758,Down_LIHC,Down_LIHC,CYP2A7
CD36,1.33816881005175,10.4288830897704,7.59830920249237,1.59248332775287e-13,6.13829937242924e-13,18.9677219650807,Up_LIHC,Up_LIHC,CD36
APOA4,-3.26837095343681,8.58545803757829,-7.51783042935083,2.76728717777538e-13,1.04761586015782e-12,18.4235333102113,Down_LIHC,Down_LIHC,APOA4
IKBKE,1.12124594727766,7.44414822546973,7.42080183264901,5.35561492388027e-13,1.89231727310436e-12,17.7735225022328,Up_LIHC,Up_LIHC,IKBKE
VCAM1,1.37193192904658,9.3462108559499,6.85877989363767,2.15398236310188e-11,6.52348944253712e-11,14.1422692368857,Up_LIHC,Up_LIHC,VCAM1
PIK3R2,1.40090923872875,1.85887912317328,5.25482398531085,2.2353892951227e-07,4.73902530566012e-07,5.11599879129527,Up_LIHC,Up_LIHC,PIK3R2
