gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
CALML6,-4.31446672727273,4.19646635160681,-17.2907356537606,2.11765327327213e-53,4.48942493933692e-51,110.526253311971,Down
CALML5,-3.04359418181818,1.00086748582231,-15.2617550800639,7.9920949426842e-44,8.47162063924526e-42,88.5561244664967,Down
IRAK4,-1.00323454545455,9.02502079395085,-13.5241988297308,5.39986545429528e-36,3.81590492103533e-34,70.6099455034987,Down
MIB2,-1.42773090909091,10.2135916824197,-13.341134007787,3.40858486510453e-35,1.8065499785054e-33,68.777003553116,Down
IKBKB,-1.23977636363636,10.0847958412098,-13.0354190963202,7.19413357690646e-34,3.05031263660834e-32,65.7438477493805,Down
CAMK2G,-1.01126181818182,9.83444801512287,-12.0102285589569,1.51760673945497e-29,5.36221047940756e-28,55.8462698351583,Down
ARHGEF1,-0.941018181818183,11.4086672967864,-11.4398631300752,3.17373321779625e-27,9.61187774532578e-26,50.5394324329282,NS
RXRB,-0.905761818181819,10.9233686200378,-10.6545049377881,3.85380136205582e-24,1.02125736094479e-22,43.4915167896261,NS
CDC42,0.66267272727273,12.6073724007561,9.17013790210703,1.05411374126255e-18,2.48302347941846e-17,31.0906234004692,NS
CD14,1.86747272727272,13.5656635160681,8.64292171613859,6.57031133689896e-17,1.39290600342258e-15,27.0063387186859,Up
RHOA,0.563036363636364,13.4942911153119,8.60189912019707,8.98875503033018e-17,1.73237824220909e-15,26.6967877516566,NS
IRF3,-0.841618181818179,11.2324310018904,-8.21263579333998,1.67592907762359e-15,2.96080803713501e-14,23.8094053619491,NS
RAC1,0.594127272727279,13.0903213610586,8.03147102534845,6.31855840809463e-15,1.03041106347389e-13,22.5008163272684,NS
NFE2L2,0.865745454545449,11.7358941398866,8.00329836699684,7.75136879908466e-15,1.17377870386139e-13,22.2993658002637,NS
PLCG1,-0.974476363636365,10.3834744801512,-7.86294412128547,2.12841764149183e-14,3.00816359997512e-13,21.3040452882119,NS
CYBB,1.97088727272727,8.70102079395085,7.78790304983209,3.63393479583576e-14,4.81496360448239e-13,20.7771680607477,Up
IKBKG,-1.09635818181818,10.9994877126654,-7.69960043723369,6.78048990326188e-14,8.45566976171482e-13,20.1629912411031,Down
MAP2K7,-0.507430909090905,10.6153572778828,-7.66671180027314,8.53990302458707e-14,1.00581080067359e-12,19.9358688997802,NS
TNFSF10,1.59047272727273,11.5155141776938,7.63303152262176,1.08150071775448e-13,1.20672711665237e-12,19.703415821681,Up
DDIT3,-1.14978545454545,10.247404536862,-7.60808865054007,1.28714335834594e-13,1.36437195984669e-12,19.5320945810781,Down
CALM1,0.560763636363639,12.9694896030246,7.15738451771605,2.76884891730744e-12,2.78490106754115e-11,16.5151570343738,NS
RELA,-0.405654545454546,11.6810775047259,-7.15093942796183,2.88999167386346e-12,2.78490106754115e-11,16.4731014161491,NS
TNFRSF10B,-0.830000000000007,11.2782438563327,-7.03942387527857,6.03364701842769e-12,5.56144855611596e-11,15.7503899304935,NS
RAP1A,0.493090909090912,11.0895293005671,6.77464138846563,3.33899007899674e-11,2.94944123644712e-10,14.0722683103328,NS
HSPA1B,-1.8559090909091,13.0435103969754,-6.75475673914304,3.78979257965067e-11,3.21374410754377e-10,13.94816902486,Down
CCL5,1.67810181818182,8.94010586011342,6.69573465217349,5.50491079499067e-11,4.48861957130008e-10,13.5823692278533,Up
MAP3K7,-0.603943636363635,10.0058998109641,-6.67476481478306,6.28009348600239e-11,4.93103636678706e-10,13.4532950836927,NS
PDPK1,-0.892681818181815,10.5649584120983,-6.6507814183639,7.3011784766847e-11,5.52803513234699e-10,13.3057431167676,NS
MAPK12,-1.41831636363637,7.98839319470699,-6.37106786258748,4.09298733872695e-10,2.99211488210384e-09,11.6189375527523,Down
CCL3,1.52508181818181,7.26692438563327,6.36012997136437,4.37302613550489e-10,3.09027180242346e-09,11.5542406891505,Up
HSPA6,-1.91539636363637,7.78367296786389,-6.22795039837238,9.65889475213896e-10,6.60543770146278e-09,10.7799657730856,Down
TRAF3,-0.691407272727275,9.2165595463138,-6.11131259191257,1.92137764621096e-09,1.27291269061476e-08,10.1085652219541,NS
LDLR,1.00747272727272,11.8950170132325,5.90809832734141,6.21038869110753e-09,3.98970425004484e-08,8.96474151012057,Up
AKT2,-0.483272727272727,12.4589981096408,-5.78734922545423,1.22745345840748e-08,7.65353332889369e-08,8.30136818653885,NS
HSPA1A,-1.29676363636364,14.353988657845,-5.71189789220903,1.86822345153161e-08,1.13160963349915e-07,7.89275650033669,Down
POU2F1,-0.501983636363629,9.37829678638941,-5.66704193001621,2.39241529687803e-08,1.40886678593928e-07,7.65228704762058,NS
VCAM1,1.71774363636364,9.40867485822306,5.65441205558836,2.56466688676507e-08,1.46948481079512e-07,7.58472141223091,Up
NFATC2,1.01331454545455,8.79842722117202,5.50497595393048,5.77170816257101e-08,3.22000560648698e-07,6.79691717716425,Up
CASP3,-0.532545454545458,9.98628922495274,-5.49013413992674,6.24895184837516e-08,3.39686613296291e-07,6.71980908955044,NS
NLRP3,1.24367090909091,5.36378449905482,5.38676732804212,1.08237541498251e-07,5.73658969940732e-07,6.18707094239785,Up
CD36,1.42584181818182,10.4662155009452,5.35696928753155,1.26599386866748e-07,6.51281341126157e-07,6.03521059699303,Up
CYP2J2,1.24882727272727,11.3761077504726,5.35334730205248,1.29027435506126e-07,6.51281341126157e-07,6.01680327539216,Up
PPP3CA,0.474474545454539,9.70385822306238,5.33153322665589,1.44618544476698e-07,7.13003056489768e-07,5.9062762344924,NS
EIF2S1,0.437099999999996,10.8486483931947,5.20444443846217,2.79104563666708e-07,1.3447765340305e-06,5.26984509332257,NS
IL1B,1.44068181818182,5.20806616257089,5.19512722466732,2.92764189093369e-07,1.37924462417321e-06,5.22364256100977,Up
APOB,1.25199999999999,17.3515482041588,5.18970255592976,3.00994866031825e-07,1.38719373040754e-06,5.19682877389639,Up
ERN1,-0.690692727272722,10.8377844990548,-5.18166189092187,3.13586155973807e-07,1.41447372481802e-06,5.15719148445123,NS
ATF6,0.531563636363636,11.5745274102079,5.1683716900598,3.35552851265126e-07,1.48202509308764e-06,5.09172368088762,NS
NFATC3,0.599254545454551,10.0494196597354,5.16405247196687,3.43010793479973e-07,1.48404669832151e-06,5.07047109553785,NS
LY96,1.37672727272727,7.12122117202268,5.05821897306833,5.85026320167935e-07,2.48051159751205e-06,4.55466792662185,Up
FOS,1.50703636363636,11.2634102079395,5.02359738428255,6.95240771925523e-07,2.89002046369041e-06,4.38806271427305,Up
MAPK11,-0.897907272727274,7.96075236294896,-4.99484377809192,8.01789844937043e-07,3.26883552166641e-06,4.25048571058734,NS
NRAS,0.467919999999998,10.8556956521739,4.86135126521988,1.54025596005323e-06,6.1610238402129e-06,3.62126286607048,NS
PRKCA,-0.568338181818179,10.5341701323251,-4.77500744919741,2.33105170670731e-06,9.1515363300361e-06,3.22253075159506,NS
XBP1,0.536981818181822,14.2750510396975,4.76386278052494,2.45799665457273e-06,9.47445983217125e-06,3.17154233844908,NS
CCL3L3,1.29875454545455,5.34476805293006,4.71534291786615,3.09274436087303e-06,1.17082465090193e-05,2.95077229939239,Up
TLR4,0.827550909090903,8.20345179584121,4.67896545665329,3.66902094608238e-06,1.36461831678854e-05,2.78666031920176,NS
PYCARD,1.08635272727273,8.56846691871456,4.53931782604531,6.99676578101586e-06,2.5311482801698e-05,2.16754468311632,Up
RXRA,-0.548945454545464,13.1764536862004,-4.53782233505048,7.04423342122726e-06,2.5311482801698e-05,2.16105934153692,NS
CXCL2,-1.34557636363637,10.5084593572779,-4.53085014003493,7.27219239347049e-06,2.56950797902624e-05,2.13056111890875,Down
IRAK1,-0.603258181818186,11.9658638941399,-4.455832572737,1.02104076803323e-05,3.54853512824664e-05,1.80573925057514,NS
MAPK14,-0.339145454545456,11.495202268431,-4.41060826726798,1.24993346002536e-05,4.27396602460283e-05,1.61234365590323,NS
PPP3R1,0.307781818181814,11.1811965973535,4.36861146292242,1.50587687606137e-05,5.06739520198429e-05,1.43437808547684,NS
IRF7,-0.768414545454542,10.5635141776938,-4.3317788190071,1.7710353666389e-05,5.86655465199134e-05,1.27955788944074,NS
CD40LG,1.10461454545454,4.21753175803403,4.27708432467343,2.24831784826645e-05,7.33297513588443e-05,1.05197585800998,Up
SELP,1.23070545454545,5.74591379962193,4.23819704362359,2.65986865709874e-05,8.54382053492321e-05,0.891808307731168,Up
TAB2,0.47661818181818,11.063763705104,4.19243103542253,3.23618421958984e-05,0.000102398664858664,0.705096762704235,NS
TRAF2,-0.477487272727274,9.79263516068053,-4.15173134815124,3.84714744774425e-05,0.000119940479253203,0.540613880891151,NS
MMP3,-1.48614363636364,1.62229924385633,-4.11132616169045,4.56149002428233e-05,0.000140150128282298,0.378774434193298,Down
CYP2B6,1.58768181818182,11.4374593572779,3.89756596567851,0.000109682022268935,0.000332179838871633,-0.452470200033046,Up
PPARG,0.630189090909092,9.21841020793951,3.84842999503507,0.000133441609261351,0.000398445368498682,-0.637628741873777,NS
STAT3,-0.446745454545455,12.9974669187146,-3.81198063022107,0.000154119695789699,0.000453796882047447,-0.7735209995639,NS
HSPA8,0.502963636363639,14.7654631379962,3.7873399181679,0.000169779412922045,0.00049305802108868,-0.864718883115616,NS
IL12B,0.695096727272727,0.947515879017013,3.7531622732875,0.000193999939604218,0.000555783610758029,-0.990292045372245,NS
CAMK2D,0.378754545454537,10.4048374291115,3.74848322979834,0.00019755210901715,0.000558413961488478,-1.00737431104316,NS
CALM3,0.349145454545457,12.9920982986767,3.73130499137213,0.000211149396323982,0.000588995684482686,-1.06999981175084,NS
LYN,0.466967272727269,10.1360926275992,3.65708394973359,0.000280679318320313,0.000772779421868914,-1.33744593334406,NS
APOA1,1.44478181818182,17.5739848771267,3.64333556050105,0.000295726676902168,0.000803769942349483,-1.38644310273823,Up
MAPK13,-1.16134545454546,8.35650661625709,-3.61855175395226,0.000324769648525538,0.000871533740347014,-1.47429333602412,Down
ABCG1,0.770472727272725,8.7135236294896,3.61510863601664,0.00032901009528138,0.000871876752495658,-1.48645289421498,NS
CALML4,0.565100000000003,8.67599621928166,3.57016153854289,0.000389351220928427,0.00101904270168922,-1.64417496044789,NS
PLCB2,-0.629540000000002,8.40419092627599,-3.51377516996178,0.000479736644723867,0.0012402947400178,-1.83937827877467,NS
CYP2A6,2.22108181818182,12.8688332703214,3.38484651499292,0.000765183891177769,0.00195444560156249,-2.27455872545877,Up
MAP2K4,0.278949090909096,9.83310396975425,3.36607209265198,0.000818005012145392,0.00206448884017647,-2.33661644398899,NS
JUN,0.672127272727277,12.5811833648393,3.34943753762231,0.000867654262746609,0.00216403180826213,-2.39135180273754,NS
VAV2,-0.32363636363637,11.8241890359168,-3.34487607433559,0.000881727799497705,0.00217356155225016,-2.40629776222611,NS
PPP3R2,-0.450085818181818,0.402890548204159,-3.3356259410941,0.000910963964736417,0.00221982023590943,-2.43657934976216,NS
TP53,0.511656363636364,10.0779584120983,3.32586345256891,0.000942801614829517,0.00227129479936202,-2.46845594237595,NS
CD40,0.64717818181818,9.25977882797732,3.31628853529006,0.000975015888852707,0.00232250975771656,-2.49962366127235,NS
HSPA4,0.311636363636362,12.1312098298677,3.31230663103292,0.000988692162376363,0.00232891931581988,-2.51254652065811,NS
IFNA5,-0.291693636363636,0.212537618147448,-3.30658298857128,0.00100869103958963,0.00234991758673627,-2.5311153048622,NS
NFATC1,0.623038181818183,7.68176559546314,3.24817670059212,0.00123538239853252,0.00284675074444449,-2.71884828815606,NS
BCL2,0.556538181818179,7.48923062381853,3.22952671637446,0.00131716033578391,0.00300255904501279,-2.77811302118065,NS
VAV1,0.656847272727273,7.24630056710775,3.1848585497741,0.00153381282225726,0.00345923742892063,-2.91872250017283,NS
MYD88,0.30325454545455,11.1410434782609,3.11743975261004,0.0019237266324329,0.0042929478534292,-3.1273673575058,NS
CYP2C8,1.34324545454546,13.0660964083176,3.10045870726531,0.00203542837210175,0.00449490432172469,-3.17925425606251,Up
PLCB3,-0.303849090909099,9.41102835538752,-3.09411459820967,0.00207862607524911,0.00454297657683311,-3.19855530950209,NS
CCL2,0.858689090909087,8.72462570888469,3.08940523228984,0.00211129187779442,0.00456728447033078,-3.21287552214949,NS
TAB1,-0.232220000000005,10.245584120983,-3.08617928715417,0.00213388584024037,0.00456953331445413,-3.22265620773688,NS
IL6,1.08069272727272,3.63865387523629,3.05470912750664,0.00236663387938125,0.00501726382428825,-3.3176578725681,Up
TIRAP,-0.303536363636361,8.29778449905482,-3.01819476329358,0.00266569625873309,0.00559532284011303,-3.42668862936752,NS
ICAM1,0.703081818181815,11.5814896030246,2.96289841889588,0.00318507877936532,0.00661996765907301,-3.58941156205476,NS
PIK3CA,0.242719999999995,9.68287334593573,2.93404390892239,0.00349132351508236,0.00718602509900448,-3.6731550736279,NS
CAMK2A,-0.993870909090909,3.07036918714556,-2.85077859263366,0.00453193968949746,0.00920899270120813,-3.91039289279545,NS
MAP2K6,0.691636363636362,7.21177882797732,2.84870954179181,0.00456105770578705,0.00920899270120813,-3.91620351536999,NS
BAX,0.317830909090908,10.7399149338374,2.7278113255776,0.00658799871375893,0.0131759974275179,-4.24861050414708,NS
ATF4,-0.279200000000008,13.592438563327,-2.72444850416537,0.00665450590901744,0.0131846285300159,-4.25765652060864,NS
IFNA16,-0.0765909090909091,0.0159262759924386,-2.71840803388742,0.00677549143160549,0.0133000387361145,-4.27387818718034,NS
VLDLR,-1.00519818181818,6.94967939508507,-2.70768595687763,0.00699520288873534,0.0136053487377238,-4.30259144618522,Down
IFNA7,-0.0738836363636364,0.0203534971644612,-2.65932384644897,0.0080676581136621,0.0155485774554215,-4.43070153687071,NS
IFNA14,-0.0912181818181818,0.0282421550094518,-2.64125355848601,0.00850485334139042,0.016243503679052,-4.477994513119,NS
CYP2C9,1.06637272727273,13.4710207939509,2.62366814438673,0.00895066979367304,0.0169423392523097,-4.5237215983165,Up
CYP1A1,1.52562181818182,7.87248563327032,2.61951121816122,0.00905904748911838,0.0169957351123283,-4.53448617888429,Up
TRAF6,-0.216767272727276,8.3239168241966,-2.54871155553823,0.0110941764086742,0.0205426131611147,-4.71526625905309,NS
NFKB1,0.286029090909091,10.3975652173913,2.54714772530593,0.0111433986487179,0.0205426131611147,-4.71920491780202,NS
POU2F2,0.505459999999997,6.30615689981096,2.54292621627204,0.0112773299565103,0.0206102926791395,-4.72982940783395,NS
CXCL3,-0.784674545454544,4.21848487712665,-2.53379722004649,0.0115716796858156,0.0209674879777172,-4.75273735327302,NS
CALML3,-0.896702545454545,3.17517088846881,-2.51683365952966,0.0121368468805079,0.021805182531082,-4.79509150644222,NS
IL18,0.598050909090907,7.1013629489603,2.50551677688018,0.0125274009824458,0.022317722758643,-4.82319272916134,NS
BID,0.283385454545453,10.7654253308129,2.4954572819199,0.0128837980416364,0.0227613765402244,-4.84806424947396,NS
MAP2K3,0.284563636363645,11.4611758034026,2.47480493512258,0.0136439987065522,0.0238359876513403,-4.8988272499214,NS
BCL2L1,0.271436363636363,12.3440642722117,2.47287744834728,0.0137169362899223,0.0238359876513403,-4.90354394146771,NS
PTK2,0.242263636363631,11.3416446124764,2.46098760436984,0.0141745403453266,0.0244309150667418,-4.93255980197824,NS
VAV3,0.55114545454545,6.92272778827977,2.45533074451361,0.0143970556307368,0.0246143209170662,-4.94632012370486,NS
NCF4,-0.451881818181819,7.64504347826087,-2.43033711852508,0.0154171430058509,0.0261474745379232,-5.00673172266557,NS
HSPA5,0.32645454545454,15.0652741020794,2.42327718694042,0.0157165404246565,0.0264437029367236,-5.02368449906064,NS
IFNA10,-0.0750454545454545,0.0156049149338374,-2.40034988028511,0.0167247191438384,0.0279184288070374,-5.07841257150251,NS
CXCL8,1.02992909090909,7.59352930056711,2.32595882458562,0.0203987900686765,0.0337854960512454,-5.2524844502078,Up
AKT1,-0.208018181818181,12.2555009451796,-2.29866549048666,0.0219138487469495,0.0358561832582774,-5.31500021832058,NS
EIF2AK3,-0.267596363636365,9.5130831758034,-2.29738505028816,0.0219872821866795,0.0358561832582774,-5.3179154443401,NS
ABCA1,-0.316181818181827,11.68995463138,-2.2664010823037,0.0238309192491797,0.0385660677925656,-5.387973531627,NS
IFNA13,-0.0580363636363636,0.015461247637051,-2.23413316332755,0.0258923363156167,0.0415846613553843,-5.45994040952364,NS
JAK2,-0.319236363636371,7.9308336483932,-2.21750582049515,0.0270138195773776,0.0430596221834891,-5.49663089719307,NS
CASP9,-0.2598,9.11476937618147,-2.19134294701306,0.0288633474980988,0.0456644005193802,-5.55381459943443,NS
PIK3CB,0.183756363636359,10.0472646502836,2.15442206845963,0.0316589733061612,0.049716313636342,-5.63337973327142,NS
TANK,0.198469090909096,10.2571304347826,2.09275771710367,0.0368477552563832,0.0574391478996561,-5.76330446742362,NS
KRAS,-0.228416363636365,10.0356502835539,-2.05619663827903,0.0402547772914696,0.0622920641298653,-5.8385851682272,NS
HRAS,-0.243547272727273,9.70604914933837,-1.96442407265824,0.0500052474048453,0.0767243869728313,-6.02179332546123,NS
RXRG,0.788629090909091,3.87139054820416,1.96185124295266,0.0503051405152055,0.0767243869728313,-6.0268117935617,NS
CASP1,0.338087272727266,8.63046502835539,1.94119281645203,0.0527670375225865,0.079904371105631,-6.06686441499653,NS
CYP2A7,1.20199454545454,8.27927599243856,1.8336253825767,0.0672727744008362,0.101147717538846,-6.2686575029582,NS
CYBA,0.464596363636368,10.3468223062382,1.82411784518361,0.0686997565875781,0.102565833778638,-6.28594735003526,NS
PPP3CB,0.121807272727271,10.1261361058601,1.79324377846984,0.073506414785739,0.10897454499704,-6.34148038209784,NS
MIB1,0.217983636363641,10.3633364839319,1.7853180422095,0.0747839142880629,0.110098540479648,-6.3555854735971,NS
PLCB4,-0.454421818181817,4.8081550094518,-1.7797580361047,0.075691076746609,0.110665574277801,-6.36544405074615,NS
IFNA2,-0.0362181818181818,0.0110192816635161,-1.76303125918576,0.07847391540703,0.113948425111578,-6.39491742711338,NS
HSP90B1,0.195272727272737,15.4775236294896,1.67858838709595,0.0938242594963245,0.135311176960686,-6.53951102841453,NS
TLR2,-0.426063636363635,7.85024574669187,-1.67115690222316,0.095283695229205,0.136487455328321,-6.55190043951263,NS
IFNA1,-0.0415090909090909,0.0150468809073724,-1.65823178353542,0.097864896019913,0.139244013129004,-6.57331815248539,NS
ITPR1,-0.302129090909089,8.63500756143667,-1.63648861295033,0.102333706938765,0.144631639140121,-6.60897737119576,NS
PPP3CC,0.144683636363636,8.62204536862004,1.62244451762923,0.105305393457046,0.147845982866846,-6.63176188799866,NS
OLR1,0.659383636363635,4.05184064272212,1.61501141852463,0.106906055703783,0.149105814534224,-6.64374268903865,NS
CXCL1,0.75944363636364,6.05992381852552,1.59515498152073,0.111276401397432,0.154186909125853,-6.6754798836164,NS
PLCB1,-0.370094545454551,8.58283175803403,-1.59128807285911,0.112143725348753,0.154379673856724,-6.68161525613252,NS
MMP1,0.612396363636364,3.98242192816635,1.54556013155136,0.122810427735032,0.167972972127915,-6.75305006757756,NS
FAS,0.293532727272728,8.90364839319471,1.53464023873601,0.125471658070545,0.170512766095868,-6.76980353598038,NS
IFNA21,-0.0783236363636364,0.0622741020793951,-1.52289190299922,0.128384708849828,0.172449851829544,-6.78769643857729,NS
ROCK2,-0.153274545454542,10.8322665406427,-1.52233562162767,0.128523946174849,0.172449851829544,-6.78854028990701,NS
TICAM2,-0.264922727272726,7.25877221172023,-1.47862240658282,0.139838025665158,0.186450700886877,-6.85389535189333,NS
TLR6,-0.282952727272728,5.94463327032136,-1.46867822922413,0.142516048908025,0.188833764803133,-6.86849912362645,NS
NFKBIA,0.176163636363638,12.3301663516068,1.4610242907819,0.144603879065296,0.189660432657074,-6.8796728980751,NS
HSPD1,0.153509090909086,14.6086389413989,1.45832114232436,0.145346893656532,0.189660432657074,-6.88360532869664,NS
MAPK3,0.131976363636364,10.2602041587902,1.4565916208947,0.145823823222184,0.189660432657074,-6.88611757664988,NS
IFNA4,-0.0430727272727273,0.0227788279773157,-1.42480686391503,0.154804119004149,0.200112641639509,-6.93176043780391,NS
MAPK1,0.126872727272723,11.7766994328922,1.3574293581488,0.17522500587046,0.223956950125137,-7.02520931726247,NS
RAP1B,0.0923272727272675,11.780415879017,1.35699619011813,0.175362517550815,0.223956950125137,-7.02579555926238,NS
GSK3B,-0.0957000000000043,10.6629470699433,-1.31158301177873,0.190231159143689,0.241491052326121,-7.08622587077492,NS
APAF1,-0.2027,8.73941587901701,-1.28797564537918,0.198319053939876,0.250259758543177,-7.11683238272267,NS
IFNA6,-0.0291636363636364,0.013178449905482,-1.28165780638284,0.200525508771616,0.251287651525429,-7.12492974627795,NS
SELE,-0.41622909090909,6.20999829867675,-1.27887231225338,0.201504248864731,0.251287651525429,-7.12848713424471,NS
CASP6,0.099580000000012,9.05566540642722,1.13087206792542,0.258622588683796,0.31961601831195,-7.30643480889398,NS
HSP90AA1,-0.132927272727292,14.8169943289225,-1.12923647834928,0.259311109196488,0.31961601831195,-7.30827986843427,NS
PIK3R3,-0.0140727272727273,0.00292627599243856,-1.08453026506029,0.278624943960462,0.341436347512243,-7.35768234203964,NS
MMP9,0.387738181818178,7.77217202268431,1.05317096297593,0.292744733824644,0.356677491786348,-7.39115026705638,NS
HSPA2,0.193750909090907,8.18799810964083,1.04038768597252,0.298636351520789,0.36177660869947,-7.40451262353293,NS
MAPK8,-0.0743890909091025,10.0434328922495,-0.964187166560958,0.335393690933471,0.403996945897135,-7.4807926008827,NS
TNF,0.228209090909089,3.46327580340265,0.895489649094168,0.370933767053865,0.442537852709014,-7.54460756259628,NS
HSP90AB1,0.102145454545459,15.1085633270321,0.894307968641824,0.371564800859455,0.442537852709014,-7.54566427689273,NS
TNFRSF1A,0.0760909090909152,12.6896219281664,0.883520238675661,0.377357547618182,0.446926257514272,-7.5552456321399,NS
IFNB1,0.0615647272727273,0.130613232514178,0.862071999381561,0.389039438821285,0.458202005722847,-7.57395093838102,NS
NCF2,0.194267272727272,8.12102835538752,0.847293449692953,0.397215764610405,0.46524719390832,-7.58657265635502,NS
FASLG,0.205718181818183,4.07025860113422,0.817449497757399,0.414040592666636,0.48228904200729,-7.61139773267316,NS
APOA4,-0.489143636363641,8.77720302457467,-0.743677252834256,0.457402806575772,0.529887404339145,-7.66895313478685,NS
MAPK10,-0.196014545454545,5.32898865784499,-0.735845286978684,0.462151869274743,0.532479327642638,-7.67474474698744,NS
HSPA1L,-0.101834545454548,6.03648771266541,-0.725441341169542,0.468502922658485,0.536879024884318,-7.68234371050751,NS
BAD,0.0734800000000035,10.7829111531191,0.681561201573936,0.495815428678696,0.562342328199845,-7.71320495422681,NS
CHUK,-0.0576545454545503,9.82224763705104,-0.681224300931533,0.496028374402693,0.562342328199845,-7.71343446582128,NS
MAPK9,-0.0536563636363674,10.3729224952741,-0.669399872692726,0.503533173778004,0.567526991735889,-7.72141802809427,NS
TNFRSF10A,0.106250909090907,7.77155198487713,0.665603165150784,0.505955667160769,0.567526991735889,-7.72395177680839,NS
NCF1,0.144236363636358,6.88276748582231,0.65331570379276,0.513837376579465,0.573334335972876,-7.73205354568826,NS
CAMK2B,-0.266447272727277,6.33469092627599,-0.644477417946409,0.5195459980531,0.576668856477786,-7.73778789983104,NS
CALM2,0.0479636363636331,13.4595085066163,0.6183398728534,0.536618089088977,0.592515806702412,-7.75428991225291,NS
TBK1,0.0447781818181845,9.89094517958412,0.580457820638157,0.561853683805772,0.617165704491314,-7.77699592346391,NS
PIK3R2,0.220598181818182,1.77772608695652,0.534804729690347,0.593010204782663,0.648031770174869,-7.80245526948032,NS
NOS3,0.0884818181818172,8.430797731569,0.479054239691082,0.632098531049613,0.687204556833425,-7.83072175173143,NS
IKBKE,0.107329090909094,7.37265217391304,0.464865655832505,0.642219458632456,0.694645536888167,-7.83741980376838,NS
