gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
FOS,-3.50232032520324,11.2634102079395,-13.2134668308187,1.22678117364151e-34,2.60077608812001e-32,67.6373612727926,Down
TRAF2,1.21097517615177,9.79263516068053,11.9171526977252,3.66603118796093e-29,3.88599305923858e-27,55.1129599438218,Up
IRAK1,1.34050991869919,11.9658638941399,11.2063838759895,2.7076169772844e-26,1.46900841776726e-24,48.5585676335952,Up
MYD88,-0.962949051490515,11.1410434782609,-11.2037621387187,2.77171399578728e-26,1.46900841776726e-24,48.5353456336142,NS
MAP2K3,-1.08789376693769,11.4611758034026,-10.7082346732418,2.39436437111753e-24,1.01521049335383e-22,44.1138838413952,Down
CYP2B6,-3.82026720867209,11.4374593572779,-10.6143539088029,5.50214317805139e-24,1.94409058957816e-22,43.2892239144663,Down
CYP2C8,-4.01694471544715,13.0660964083176,-10.4938837070069,1.58659269081752e-23,4.80510929219021e-22,42.2396770117753,Down
MAPK3,0.817451598916012,10.2602041587902,10.2111232280119,1.84591136652988e-22,4.89166512130417e-21,39.8084448776864,NS
TLR4,-1.58273886178861,8.20345179584121,-10.1282451595988,3.76429527710613e-22,8.6117186770871e-21,39.1027257582643,Down
MAP2K4,-0.740931869918695,9.83310396975425,-10.1192088360463,4.06213145145618e-22,8.6117186770871e-21,39.0272781251387,NS
HSP90AB1,1.01958428184283,15.1085633270321,10.1032478507654,4.65618097273374e-22,8.97373060199594e-21,38.8921127813708,Up
PLCG1,1.0483695392954,10.3834744801512,9.57410296914313,3.95991734737468e-20,6.99585398036194e-19,34.4941972057148,Up
CD14,-1.80091544715448,13.5656635160681,-9.43342617065463,1.25667090941225e-19,2.04934025227229e-18,33.3519440692538,Down
SELP,-2.40678357723577,5.74591379962193,-9.38067043706746,1.93119799788189e-19,2.81147317391954e-18,32.9270252009842,Down
CAMK2B,-3.42530222222222,6.33469092627599,-9.37702646939129,1.98924988720722e-19,2.81147317391954e-18,32.8977377362311,Down
BAX,0.960033983739832,10.7399149338374,9.32555365365505,3.0173347843988e-19,3.99796858932841e-18,32.4857517769496,NS
CAMK2G,0.667696531165326,9.83444801512287,8.97504433371294,4.96284534663468e-18,6.18896007933266e-17,29.718195508782,NS
LDLR,-1.32993983739837,11.8950170132325,-8.82706311116178,1.58317192253123e-17,1.86462470875901e-16,28.5724195585941,Down
IRF3,0.797407046070457,11.2324310018904,8.80678397734114,1.85242440118952e-17,2.06691564764304e-16,28.4172870400616,NS
