"timestamp","stage","status","detail"
"2026-06-26 19:13:53.052","START","OK","R version: R version 4.6.0 (2026-04-24 ucrt)"
"2026-06-26 19:13:53.058","PROJECT_ROOT","OK","C:\Users\oorie\OneDrive\Documentos\TRABALHOS\LIVER"
"2026-06-26 19:13:53.060","PACKAGES","INFO","Instalando/carregando pacotes..."
"2026-06-26 19:14:07.624","PACKAGES","OK","20 pacotes carregados"
"2026-06-26 19:14:07.636","DATA_FILE","OK","C:\Users\oorie\OneDrive\Documentos\TRABALHOS\LIVER/liver_lip_aterosclerose.tsv"
"2026-06-26 19:14:07.642","IMPORT","INFO","Extensão: tsv"
"2026-06-26 19:14:09.508","IMPORT","OK","Dimensão bruta: 531 x 230"
"2026-06-26 19:14:09.537","COLUMNS","OK","meta: 17 genes: 212"
"2026-06-26 19:14:09.568","FILTER_LIVER","OK","Amostras fígado: 481"
"2026-06-26 19:14:09.585","MATRIX","OK","481 x 212"
"2026-06-26 19:14:09.588","PROGRESS","INFO","Matriz de expressão montada. Iniciando definição de condições..."
"2026-06-26 19:14:09.590","PROGRESS","INFO","Definindo condições com filtro sample_type..."
"2026-06-26 19:14:09.615","SAMPLE_TYPE_FILTER","OK","2 amostras excluídas por sample_type"
"2026-06-26 19:14:09.627","CONDITIONS","OK","Normal: 110 LIHC: 369"
"2026-06-26 19:14:09.639","QC_START","OK","Iniciando controle de qualidade pré-análise"
"2026-06-26 19:14:09.649","QC_NA","OK","NA count: 0 (0.00%)"
"2026-06-26 19:14:09.699","QC_SCALE","INFO","Range: 0.00 - 21.37 | Integer-like: FALSE | Log-scale: TRUE"
"2026-06-26 19:14:09.706","QC_DUP_GENES","OK","Sem genes duplicados"
"2026-06-26 19:14:09.718","QC_DUP_SAMPLES","OK","0 amostras duplicadas"
"2026-06-26 19:14:09.868","QC_ZERO_VAR","OK","Sem genes de variância zero"
"2026-06-26 19:14:09.890","QC_BATCH","INFO","Verificando efeito batch TCGA vs GTEx"
"2026-06-26 19:14:14.860","QC_PCA","OK","PC1: 12.4 % PC2: 11.5 %"
"2026-06-26 19:14:21.954","QC_UMAP","OK","UMAP gerado com sucesso"
"2026-06-26 19:14:22.457","QC_SAMPLES","OK","N total: 479"
"2026-06-26 19:14:22.468","QC_DONE","OK","QC pré-análise concluído"
"2026-06-26 19:14:22.476","METHOD_DECISION","OK","use_voom: FALSE limma direto em log2"
"2026-06-26 19:14:26.033","KEGG_GENES","OK","Total via LA: 216"
"2026-06-26 19:14:26.055","KEGG_GENES_IN_DATA","OK","Presentes na matriz: 212"
"2026-06-26 19:14:26.059","DE_START","OK","Iniciando análise diferencial"
"2026-06-26 19:14:26.139","DE_RESULTS","OK","Up: 12 | Down: 30 | NS: 170 | Total: 212"
"2026-06-26 19:14:26.296","DE_EXPORT","OK","Tabelas DEG exportadas"
"2026-06-26 19:14:26.300","VOLCANO_START","OK","Gerando volcano plot da via LA"
"2026-06-26 19:14:30.255","VOLCANO_DONE","OK","Volcano plot exportado"
"2026-06-26 19:14:30.258","PPI_START","OK","Construindo rede PPI via STRINGdb"
"2026-06-26 19:14:32.044","PPI_STRINGDB","OK","STRINGdb v12.0 inicializado | score >= 700 | physical"
"2026-06-26 19:17:37.528","PPI_UNMAPPED","INFO","1 genes não mapeados no STRING"
"2026-06-26 19:19:53.045","PPI_EDGES","OK","62 interações STRING (download manual)"
"2026-06-26 19:19:53.307","PPI_HUBS","OK","6 hubs (degree >= 3.8 )"
"2026-06-26 19:19:58.002","PPI_ANNOT","OK","10 genes anotados com funções STRING"
"2026-06-26 19:19:58.130","PPI_CONSISTENCY","OK","Hubs: HSP90AB1; TLR2; CALML3; CALML5; CALML6; CAMK2A"
"2026-06-26 19:19:58.140","PPI_DONE","OK","Rede: 27 nós | 31 arestas | Maior comp: 17 nós"
"2026-06-26 19:19:58.149","ENRICH_START","OK","Enriquecimento KEGG/GO (análise complementar)"
"2026-06-26 19:20:17.024","ENRICH_KEGG_UP","OK","182 vias"
"2026-06-26 19:20:21.759","ENRICH_KEGG_DOWN","OK","182 vias"
"2026-06-26 19:21:26.939","ENRICH_GO_UP","OK","856 termos GO"
"2026-06-26 19:21:34.106","ENRICH_GO_DOWN","OK","856 termos GO"
"2026-06-26 19:21:34.128","ENRICH_DONE","OK","Enriquecimento concluído"
"2026-06-26 19:21:35.494","HEATMAP","OK","42 genes"
"2026-06-26 19:21:35.568","BENCHMARK","OK","Tempo total: 462.44 segundos"
"2026-06-26 19:22:51.847","FINAL","OK","Pipeline concluído com sucesso. Tempo: 462.44 s"
