ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0019373,epoxygenase P450 pathway,6/30,18/18842,0.333333333333333,209.355555555556,35.3167310024742,1.75191970687237e-13,1.03012878764095e-09,1.03012878764095e-09,CYP2A6/CYP1A1/CYP2C8/CYP2C9/CYP2B6/CYP2A7,6
GO:0019369,arachidonate metabolic process,6/30,60/18842,0.1,62.8066666666667,19.1485170670666,4.51252781678091e-10,1.32668317813359e-06,1.32668317813359e-06,CYP2A6/CYP1A1/CYP2C8/CYP2C9/CYP2B6/CYP2A7,6
GO:0042178,xenobiotic catabolic process,5/30,30/18842,0.166666666666667,104.677777777778,22.6946735173333,9.98680128054154e-10,1.95741305098614e-06,1.95741305098614e-06,CYP2A6/CYP1A1/CYP2C8/CYP2C9/CYP2B6,5
GO:0071466,cellular response to xenobiotic stimulus,7/30,179/18842,0.0391061452513967,24.5612662942272,12.648223534266,1.0511385671131e-08,1.54517369365625e-05,1.54517369365625e-05,CYP2A6/ABCA1/CYP1A1/CYP2C8/CYP2C9/CYP2B6/CYP2A7,7
GO:0001676,long-chain fatty acid metabolic process,6/30,111/18842,0.0540540540540541,33.9495495495496,13.9035469045398,1.9300603887005e-08,2.19845385547017e-05,2.19845385547017e-05,CYP2A6/CYP1A1/CYP2C8/CYP2C9/CYP2B6/CYP2A7,6
GO:0033559,unsaturated fatty acid metabolic process,6/30,114/18842,0.0526315789473684,33.0561403508772,13.7092303367537,2.26585226355634e-08,2.19845385547017e-05,2.19845385547017e-05,CYP2A6/CYP1A1/CYP2C8/CYP2C9/CYP2B6/CYP2A7,6
GO:0002237,response to molecule of bacterial origin,8/30,319/18842,0.0250783699059561,15.7508881922675,10.6109181977291,2.61720697079782e-08,2.19845385547017e-05,2.19845385547017e-05,SELE/ABCA1/CYP1A1/LBP/FOS/CXCL2/SELP/TLR2,8
GO:0006690,icosanoid metabolic process,6/30,124/18842,0.0483870967741936,30.3903225806452,13.1123517495202,3.75258192923723e-08,2.75814771798937e-05,2.75814771798937e-05,CYP2A6/CYP1A1/CYP2C8/CYP2C9/CYP2B6/CYP2A7,6
GO:0043123,positive regulation of canonical NF-kappaB signal transduction,7/30,226/18842,0.0309734513274336,19.4533923303835,11.1450588677728,5.23999097713756e-08,3.42346077172988e-05,3.42346077172988e-05,IKBKB/TNFRSF10B/STAT3/TLR2/CAMK2A/HSPA1B/MIB2,7
GO:0006805,xenobiotic metabolic process,6/30,135/18842,0.0444444444444444,27.9140740740741,12.5325478541025,6.23696863413386e-08,3.66733755687071e-05,3.66733755687071e-05,CYP2A6/CYP1A1/CYP2C8/CYP2C9/CYP2B6/CYP2A7,6
GO:0009410,response to xenobiotic stimulus,8/30,368/18842,0.0217391304347826,13.6536231884058,9.78934094100779,7.8901054511862e-08,4.2176200048159e-05,4.2176200048159e-05,CYP2A6/ABCA1/CYP1A1/CYP2C8/CYP2C9/FOS/CYP2B6/CYP2A7,8
GO:0120254,olefinic compound metabolic process,6/30,165/18842,0.0363636363636364,22.8387878787879,11.251542366663,2.0539342636342e-07,0.000100642778918076,0.000100642778918076,CYP2A6/CYP1A1/CYP2C8/CYP2C9/CYP2B6/CYP2A7,6
GO:0032496,response to lipopolysaccharide,7/30,302/18842,0.0231788079470199,14.5578366445916,9.48492979208326,3.76177964538735e-07,0.00017014818703752,0.00017014818703752,SELE/ABCA1/CYP1A1/LBP/FOS/SELP/TLR2,7
GO:0008202,steroid metabolic process,7/30,308/18842,0.0227272727272727,14.2742424242424,9.37984454634966,4.29522755816088e-07,0.000180399557442757,0.000180399557442757,CYP2A6/ABCA1/CYP1A1/CYP2C8/CYP2C9/APOA4/CYP2B6,7
GO:0097267,omega-hydroxylase P450 pathway,3/30,11/18842,0.272727272727273,171.290909090909,22.560370725325,5.9581739520468e-07,0.000231278525230635,0.000231278525230635,CYP1A1/CYP2C8/CYP2C9,3
GO:0043122,regulation of canonical NF-kappaB signal transduction,7/30,326/18842,0.0214723926380368,13.4860940695297,9.08148633189549,6.2932932035547e-07,0.000231278525230635,0.000231278525230635,IKBKB/TNFRSF10B/STAT3/TLR2/CAMK2A/HSPA1B/MIB2,7
GO:0007249,canonical NF-kappaB signal transduction,7/30,339/18842,0.0206489675516224,12.9689282202557,8.88033101099466,8.17985620540283e-07,0.000282926791104521,0.000282926791104521,IKBKB/TNFRSF10B/STAT3/TLR2/CAMK2A/HSPA1B/MIB2,7
GO:0006631,fatty acid metabolic process,7/30,390/18842,0.0179487179487179,11.2729914529915,8.18658215447243,2.08176389478637e-06,0.000680042872296881,0.000680042872296881,CYP2A6/CYP1A1/CYP2C8/CYP2C9/APOA4/CYP2B6/CYP2A7,7
GO:0032757,positive regulation of interleukin-8 production,4/30,66/18842,0.0606060606060606,38.0646464646465,12.0455159939018,3.51311868559588e-06,0.0010872177827002,0.0010872177827002,LBP/STAT3/TLR2/HSPA1B,4
GO:0042759,long-chain fatty acid biosynthetic process,3/30,26/18842,0.115384615384615,72.4692307692308,14.562543869,9.23846005887784e-06,0.00271610725731008,0.00271610725731008,CYP1A1/CYP2C8/CYP2C9,3
GO:0034612,response to tumor necrosis factor,5/30,219/18842,0.0228310502283105,14.3394216133942,7.92919963348807,2.27872556932766e-05,0.005923011160686,0.005923011160686,SELE/FOS/IKBKB/HSPA1B/MIB2,5
GO:0032637,interleukin-8 production,4/30,106/18842,0.0377358490566038,23.7006289308176,9.35938905429216,2.31682409346561e-05,0.005923011160686,0.005923011160686,LBP/STAT3/TLR2/HSPA1B,4
GO:0032677,regulation of interleukin-8 production,4/30,106/18842,0.0377358490566038,23.7006289308176,9.35938905429216,2.31682409346561e-05,0.005923011160686,0.005923011160686,LBP/STAT3/TLR2/HSPA1B,4
