pathway,diff_score,p.value,padj
HALLMARK_COAGULATION,0.381345412046811,7.79692426072681e-35,2.57298500603985e-33
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.364073574085536,3.61414832857673e-29,5.9633447421516e-28
HALLMARK_ANGIOGENESIS,0.347698237217406,5.02397289685612e-22,5.52637018654173e-21
HALLMARK_BILE_ACID_METABOLISM,-0.408803920865132,8.5828015470823e-21,7.0808112763429e-20
HALLMARK_MYC_TARGETS_V1,0.531022548876009,5.7647018803343e-20,3.80470324102064e-19
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.288140448809481,1.17053501288776e-18,6.43794257088268e-18
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.35725584822477,1.86327912193591e-17,8.78403014626929e-17
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.243542524011711,3.13632166375269e-14,1.29373268629798e-13
HALLMARK_UV_RESPONSE_DN,-0.155043915016738,1.11561379755389e-12,3.76454381737347e-12
HALLMARK_IL2_STAT5_SIGNALING,0.199357770109932,1.14508788740084e-12,3.76454381737347e-12
HALLMARK_MYOGENESIS,-0.28216685580392,1.25484793912449e-12,3.76454381737347e-12
HALLMARK_APICAL_JUNCTION,0.130844658644047,3.3945187472633e-12,9.33492655497407e-12
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.223351029242016,7.90121832156678e-10,2.00569388162849e-09
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.139651659663659,4.68325402166148e-09,1.10390987653449e-08
HALLMARK_FATTY_ACID_METABOLISM,0.238025622050499,7.99067399202069e-09,1.75794827824455e-08
HALLMARK_COMPLEMENT,0.115060621961245,4.04186269037584e-08,8.33634179890017e-08
HALLMARK_MTORC1_SIGNALING,0.171561348397782,1.09727466452491e-07,2.13000376054835e-07
HALLMARK_GLYCOLYSIS,0.203669602740909,4.85009568092155e-07,8.89184208168951e-07
HALLMARK_UV_RESPONSE_UP,-0.12151487556732,1.34122834624548e-06,2.32950186453162e-06
HALLMARK_PEROXISOME,0.161952766921517,1.45716551169238e-05,2.40432309429243e-05
HALLMARK_P53_PATHWAY,0.0849088126725102,0.000244124964883623,0.000383624944817122
HALLMARK_XENOBIOTIC_METABOLISM,-0.126481709877626,0.000523157613224446,0.000784736419836669
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.149290960900593,0.000968600085709391,0.00138973055775695
HALLMARK_APOPTOSIS,0.059649293455371,0.00108717734445915,0.00149486884863133
HALLMARK_ALLOGRAFT_REJECTION,-0.080722117379427,0.0029521356434721,0.00389681904938317
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.0906745327105187,0.0117075870498547,0.0148596297171233
HALLMARK_KRAS_SIGNALING_DN,0.0715165693205233,0.0561262301103319,0.0685987256904057
HALLMARK_ADIPOGENESIS,0.0675144065307457,0.065891639925228,0.0776580041975901
HALLMARK_INFLAMMATORY_RESPONSE,-0.0424428555378834,0.122018325212928,0.138848439035401
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0225331183745773,0.177370865210259,0.195107951731285
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0443498293664738,0.205235574763852,0.218476579587326
HALLMARK_KRAS_SIGNALING_UP,0.0392566493768325,0.217210844680986,0.219059766158727
HALLMARK_HYPOXIA,-0.0354703701708674,0.219059766158727,0.219059766158727
KEGG_hsa05417_Lipid_Atherosclerosis,,,
