category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,30/30,216/9422,0.138888888888889,43.6203703703704,35.8128346046634,8.16564040529079e-51,2.87430542266236e-48,2.87430542266236e-48,163688/51806/1548/6401/3310/2921/19/1543/3929/816/1558/1559/2353/3551/8795/5330/337/6774/2920/3665/6403/1555/810/4217/7097/815/3304/142678/1549/5602,30
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,10/30,196/9422,0.0510204081632653,16.0238095238095,12.012446506526,2.52486566329298e-10,4.44376356739565e-08,4.44376356739565e-08,163688/51806/2921/2353/3551/6774/2920/3665/810/5602,10
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,8/30,120/9422,0.0666666666666667,20.9377777777778,12.4225082510505,2.5346499808627e-09,2.9739893108789e-07,2.9739893108789e-07,163688/51806/816/3551/810/4217/815/5602,8
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,8/30,133/9422,0.0601503759398496,18.8912280701754,11.7438792799685,5.75122875011094e-09,4.83274171303688e-07,4.83274171303688e-07,163688/51806/816/2353/5330/810/815/5602,8
Human Diseases,Infectious disease: viral,hsa05162,Measles,8/30,136/9422,0.0588235294117647,18.4745098039216,11.60086047625,6.86468993329102e-09,4.83274171303688e-07,4.83274171303688e-07,3310/2353/3551/6774/3665/7097/3304/5602,8
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,8/30,142/9422,0.0563380281690141,17.693896713615,11.3281239817152,9.66203371860975e-09,5.66839311491772e-07,5.66839311491772e-07,163688/51806/6401/2353/3551/810/4217/5602,8
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,7/30,93/9422,0.0752688172043011,23.6394265232975,12.3999358001303,1.22891729954427e-08,6.17969842056547e-07,6.17969842056547e-07,163688/51806/816/5330/810/815/5602,7
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,7/30,97/9422,0.0721649484536082,22.6646048109966,12.1211075738515,1.65213632774438e-08,7.26939984207526e-07,7.26939984207526e-07,163688/51806/816/2353/5330/810/815,7
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,7/30,99/9422,0.0707070707070707,22.206734006734,11.9879143562784,1.90637888561718e-08,7.45605964152495e-07,7.45605964152495e-07,163688/51806/816/5330/810/815/5602,7
Organismal Systems,Nervous system,hsa04720,Long-term potentiation,6/30,67/9422,0.0895522388059701,28.1253731343284,12.5927712314622,5.34412437671009e-08,1.72758701003333e-06,1.72758701003333e-06,163688/51806/816/5330/810/815,6
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,6/30,69/9422,0.0869565217391304,27.3101449275362,12.396594798802,6.39141720103367e-08,1.72758701003333e-06,1.72758701003333e-06,1548/1543/1558/1559/1555/1549,6
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,6/30,69/9422,0.0869565217391304,27.3101449275362,12.396594798802,6.39141720103367e-08,1.72758701003333e-06,1.72758701003333e-06,163688/51806/816/2353/810/815,6
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,8/30,181/9422,0.0441988950276243,13.8813996316759,9.88946832001645,6.48110799477067e-08,1.72758701003333e-06,1.72758701003333e-06,163688/51806/3929/816/810/7097/815/5602,8
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,7/30,119/9422,0.0588235294117647,18.4745098039216,10.8416918487564,6.87108469899618e-08,1.72758701003333e-06,1.72758701003333e-06,6401/2921/2353/3551/2920/4217/5602,7
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,6/30,76/9422,0.0789473684210526,24.7947368421053,11.770770744801,1.14783104047187e-07,2.69357684164064e-06,2.69357684164064e-06,163688/51806/816/5330/810/815,6
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,7/30,139/9422,0.0503597122302158,15.8163069544365,9.9456524565349,2.00444318930316e-07,4.40977501646695e-06,4.40977501646695e-06,163688/51806/3310/2353/5330/810/3304,7
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,7/30,154/9422,0.0454545454545455,14.2757575757576,9.38764695321858,4.03707580747838e-07,8.35912167195524e-06,8.35912167195524e-06,163688/51806/816/2353/5330/810/815,7
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,6/30,98/9422,0.0612244897959184,19.2285714285714,10.2516702182761,5.26606652660847e-07,1.02980856520343e-05,1.02980856520343e-05,163688/51806/816/5330/810/815,6
Organismal Systems,Endocrine system,hsa04916,Melanogenesis,6/30,101/9422,0.0594059405940594,18.6574257425743,10.0829336355253,6.29863862379733e-07,1.16690568188245e-05,1.16690568188245e-05,163688/51806/816/5330/810/815,6
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,5/30,56/9422,0.0892857142857143,28.0416666666667,11.47045060817,7.86528485035006e-07,1.38429013366161e-05,1.38429013366161e-05,3310/2921/2920/7097/3304,5
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,6/30,107/9422,0.0560747663551402,17.611214953271,9.76634236521721,8.86433141590181e-07,1.48583078971307e-05,1.48583078971307e-05,163688/51806/816/5330/810/815,6
Organismal Systems,Immune system,hsa04620,Toll-like receptor signaling pathway,6/30,109/9422,0.055045871559633,17.2880733944954,9.66647767804606,9.88895141421467e-07,1.58223222627435e-05,1.58223222627435e-05,3929/2353/3551/3665/7097/5602,6
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,6/30,112/9422,0.0535714285714286,16.825,9.52155711438412,1.16062576986724e-06,1.77626204779682e-05,1.77626204779682e-05,3310/3551/6774/7097/3304/5602,6
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,5/30,70/9422,0.0714285714285714,22.4333333333333,10.1722394902083,2.41590041914858e-06,3.54332061475125e-05,3.54332061475125e-05,1548/1543/1558/1559/1549,5
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,5/30,73/9422,0.0684931506849315,21.5114155251142,9.94270536935155,2.97834154753096e-06,4.19350489892359e-05,4.19350489892359e-05,1548/1558/1559/1555/1549,5
Human Diseases,Cancer: specific types,hsa05214,Glioma,5/30,76/9422,0.0657894736842105,20.6622807017544,9.72652902177671,3.63902297605753e-06,4.81029592821871e-05,4.81029592821871e-05,163688/51806/816/810/815,5
Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,7/30,214/9422,0.0327102803738318,10.2732087227414,7.75504556247304,3.68971562675867e-06,4.81029592821871e-05,4.81029592821871e-05,163688/51806/2353/3551/810/7097/5602,7
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,5/30,78/9422,0.0641025641025641,20.1324786324786,9.58919633528893,4.13987712899385e-06,5.2044169621637e-05,5.2044169621637e-05,163688/51806/2353/810/5602,5
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,5/30,79/9422,0.0632911392405063,19.8776371308017,9.52243665371087,4.40980239382572e-06,5.35258773319536e-05,5.35258773319536e-05,1548/1543/1559/1555/1549,5
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,6/30,144/9422,0.0416666666666667,13.0861111111111,8.25982282648003,5.03858628670086e-06,5.91194124306234e-05,5.91194124306234e-05,2921/3929/3551/2920/4217/5602,6
