category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,12/12,216/9422,0.0555555555555556,43.6203703703704,22.6283518453767,1.55471385230553e-20,5.47259276011548e-18,5.47259276011548e-18,5468/23643/3326/7412/9641/4312/948/29108/9619/581/4318/5296,12
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,4/12,94/9422,0.0425531914893617,33.4113475177305,11.2774538545736,4.32621463702971e-06,0.000761413776117229,0.000761413776117229,3326/9641/4312/4318,4
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,4/12,142/9422,0.028169014084507,22.1173708920188,9.05428884382318,2.22869617251678e-05,0.00261500350908635,0.00261500350908635,3326/7412/4318/5296,4
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,4/12,163/9422,0.0245398773006135,19.2678936605317,8.40126237700708,3.83525461697267e-05,0.00337502406293595,0.00337502406293595,9641/581/4318/5296,4
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,4/12,173/9422,0.023121387283237,18.1541425818882,8.13184310060809,4.84377611863012e-05,0.00341001838751561,0.00341001838751561,9641/29108/581/5296,4
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,3/12,77/9422,0.038961038961039,30.5909090909091,9.310185426062,0.000109503228688657,0.00642418941640124,0.00642418941640124,5468/4312/948,3
Organismal Systems,Aging,hsa04211,Longevity regulating pathway,3/12,90/9422,0.0333333333333333,26.1722222222222,8.56840054069603,0.000174227707325579,0.00829646877103706,0.00829646877103706,5468/581/5296,3
Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,4/12,249/9422,0.0160642570281124,12.6131191432396,6.6318878236889,0.000199403295278796,0.00829646877103706,0.00829646877103706,23643/3326/29108/581,4
Human Diseases,Drug resistance: antineoplastic,hsa01522,Endocrine resistance,3/12,99/9422,0.0303030303030303,23.7929292929293,8.14112103793526,0.000231112607204956,0.00829646877103706,0.00829646877103706,581/4318/5296,3
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,3/12,101/9422,0.0297029702970297,23.3217821782178,8.05383284989873,0.000245201047986354,0.00829646877103706,0.00829646877103706,7412/581/5296,3
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,3/12,105/9422,0.0285714285714286,22.4333333333333,7.88661486859424,0.000275027249449406,0.00829646877103706,0.00829646877103706,9641/29108/5296,3
Human Diseases,Cancer: specific types,hsa05215,Prostate cancer,3/12,106/9422,0.0283018867924528,22.2216981132076,7.84625896985456,0.000282834162648991,0.00829646877103706,0.00829646877103706,3326/4318/5296,3
Organismal Systems,Immune system,hsa04620,Toll-like receptor signaling pathway,3/12,109/9422,0.0275229357798165,21.6100917431193,7.72845505622293,0.000307114148191083,0.00831570616640472,0.00831570616640472,23643/9641/5296,3
Organismal Systems,Immune system,hsa04670,Leukocyte transendothelial migration,3/12,116/9422,0.0258620689655172,20.3060344827586,7.47110536445644,0.000368925287515522,0.00927583580039026,0.00927583580039026,7412/4318/5296,3
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,3/12,119/9422,0.0252100840336134,19.7941176470588,7.36763707310991,0.000397699158483686,0.0093326735857505,0.0093326735857505,7412/4318/5296,3
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,3/12,122/9422,0.0245901639344262,19.3073770491803,7.26789894969794,0.000427886206909559,0.0094134965520103,0.0094134965520103,5468/948/5296,3
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,3/12,130/9422,0.0230769230769231,18.1192307692308,7.01852150766013,0.000515517067491556,0.0106742357504134,0.0106742357504134,4312/4318/5296,3
Human Diseases,Infectious disease: viral,hsa05162,Measles,3/12,136/9422,0.0220588235294118,17.3198529411765,6.84566541086281,0.000588302454014653,0.0115045813229532,0.0115045813229532,9641/581/5296,3
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,3/12,139/9422,0.0215827338129496,16.9460431654676,6.7633283682288,0.000627045527276567,0.0116168434527027,0.0116168434527027,3326/4318/5296,3
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,3/12,156/9422,0.0192307692307692,15.099358974359,6.34103035815826,0.000877690187803541,0.0149875443301113,0.0149875443301113,9641/581/5296,3
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,3/12,157/9422,0.0191082802547771,15.0031847133758,6.31827093640616,0.00089414326969414,0.0149875443301113,0.0149875443301113,5468/581/5296,3
Human Diseases,Cancer: specific types,hsa05216,Thyroid cancer,2/12,37/9422,0.0540540540540541,42.4414414414414,9.01909350877065,0.000966158718886552,0.0154585395021848,0.0154585395021848,5468/581,2
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,3/12,168/9422,0.0178571428571429,14.0208333333333,6.08097175860825,0.00108827986513767,0.0166554135881939,0.0166554135881939,3326/29108/581,3
Human Diseases,Cancer: specific types,hsa05219,Bladder cancer,2/12,41/9422,0.0487804878048781,38.3008130081301,8.54732015192163,0.00118620204222034,0.017397629952565,0.017397629952565,4312/4318,2
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,3/12,180/9422,0.0166666666666667,13.0861111111111,5.84634131370804,0.00132859696395,0.018706645252416,0.018706645252416,9641/581/5296,3
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,3/12,187/9422,0.0160427807486631,12.596256684492,5.71958457874103,0.00148313439510805,0.0200793579645398,0.0200793579645398,3326/9641/29108,3
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,3/12,196/9422,0.0153061224489796,12.0178571428571,5.56625067463767,0.00169795299690146,0.0219317073408292,0.0219317073408292,9641/581/5296,3
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,2/12,50/9422,0.04,31.4066666666667,7.69807235216956,0.00176081959772634,0.0219317073408292,0.0219317073408292,7412/948,2
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,3/12,201/9422,0.0149253731343284,11.7189054726368,5.48534278019822,0.00182534430818001,0.0219317073408292,0.0219317073408292,5468/581/4318,3
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,3/12,205/9422,0.0146341463414634,11.490243902439,5.42265576391559,0.0019314855896753,0.0219317073408292,0.0219317073408292,9641/581/5296,3
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,3/12,205/9422,0.0146341463414634,11.490243902439,5.42265576391559,0.0019314855896753,0.0219317073408292,0.0219317073408292,948/4318/5296,3
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,3/12,217/9422,0.0138248847926267,10.8548387096774,5.244593162931,0.00227300057041252,0.0250030062745377,0.0250030062745377,3326/9641/5296,3
Human Diseases,Cancer: specific types,hsa05213,Endometrial cancer,2/12,59/9422,0.0338983050847458,26.6158192090396,7.048083762255,0.00244378505669997,0.0260670406047997,0.0260670406047997,581/5296,2
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease,3/12,239/9422,0.0125523012552301,9.85564853556485,4.95189404286666,0.00299272301252098,0.0309834853060995,0.0309834853060995,9641/4312/5296,3
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,3/12,253/9422,0.0118577075098814,9.3102766798419,4.78474801265913,0.00351675257460042,0.0345819871971931,0.0345819871971931,29108/581/5296,3
Human Diseases,Cancer: specific types,hsa05218,Melanoma,2/12,73/9422,0.0273972602739726,21.5114155251142,6.28230180258633,0.0037165208195591,0.0345819871971931,0.0345819871971931,581/5296,2
Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,2/12,73/9422,0.0273972602739726,21.5114155251142,6.28230180258633,0.0037165208195591,0.0345819871971931,0.0345819871971931,581/5296,2
Cellular Processes,Transport and catabolism,hsa04145,Phagocytosis,3/12,260/9422,0.0115384615384615,9.05961538461539,4.70598090524359,0.00379875194098747,0.0345819871971931,0.0345819871971931,948/4318/5296,3
Human Diseases,Drug resistance: antineoplastic,hsa01524,Platinum drug resistance,2/12,75/9422,0.0266666666666667,20.9377777777778,6.19035527586554,0.00391885965468978,0.0345819871971931,0.0345819871971931,581/5296,2
Human Diseases,Cancer: specific types,hsa05214,Glioma,2/12,76/9422,0.0263157894736842,20.6622807017544,6.14571070312238,0.00402192849557833,0.0345819871971931,0.0345819871971931,581/5296,2
Human Diseases,Cancer: specific types,hsa05212,Pancreatic cancer,2/12,77/9422,0.025974025974026,20.3939393939394,6.10191364329717,0.00412625983602872,0.0345819871971931,0.0345819871971931,581/5296,2
Human Diseases,Cancer: specific types,hsa05220,Chronic myeloid leukemia,2/12,77/9422,0.025974025974026,20.3939393939394,6.10191364329717,0.00412625983602872,0.0345819871971931,0.0345819871971931,581/5296,2
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,2/12,78/9422,0.0256410256410256,20.1324786324786,6.05893699799623,0.00423185084425017,0.0346421278413038,0.0346421278413038,23643/29108,2
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,2/12,80/9422,0.025,19.6291666666667,5.97534249686935,0.00444680055760749,0.0355744044608599,0.0355744044608599,581/5296,2
Organismal Systems,Immune system,hsa04623,Cytosolic DNA-sensing pathway,2/12,83/9422,0.0240963855421687,18.9196787148594,5.85549198089693,0.00477860207974637,0.0373792873793494,0.0373792873793494,9641/29108,2
Human Diseases,Cancer: specific types,hsa05210,Colorectal cancer,2/12,87/9422,0.0229885057471264,18.0498084291188,5.70513968288181,0.00523838977482557,0.0400850695812739,0.0400850695812739,581/5296,2
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,2/12,93/9422,0.021505376344086,16.8853046594982,5.49748166248021,0.00596496315221741,0.0446737665868198,0.0446737665868198,581/5296,2
