STRING_id,gene_symbol,regulation,is_DEG_LA
9606.ENSP00000217407,LBP,Down_LIHC,TRUE
9606.ENSP00000260010,TLR2,Down_LIHC,TRUE
9606.ENSP00000260682,CYP2C9,Down_LIHC,TRUE
9606.ENSP00000263686,SELP,Down_LIHC,TRUE
9606.ENSP00000264657,STAT3,Down_LIHC,TRUE
9606.ENSP00000284818,LY96,Up_LIHC,TRUE
9606.ENSP00000296026,CXCL3,Down_LIHC,TRUE
9606.ENSP00000301141,CYP2A6,Down_LIHC,TRUE
9606.ENSP00000304643,CALML6,Down_LIHC,TRUE
9606.ENSP00000306245,FOS,Down_LIHC,TRUE
9606.ENSP00000310219,HSPA6,Down_LIHC,TRUE
9606.ENSP00000315299,CALML3,Down_LIHC,TRUE
9606.ENSP00000322788,MMP1,Up_LIHC,TRUE
9606.ENSP00000324648,CYP2B6,Down_LIHC,TRUE
9606.ENSP00000331736,SELE,Down_LIHC,TRUE
9606.ENSP00000360317,CYP2C8,Down_LIHC,TRUE
9606.ENSP00000360609,HSP90AB1,Up_LIHC,TRUE
9606.ENSP00000361405,MMP9,Up_LIHC,TRUE
9606.ENSP00000364801,HSPA1B,Down_LIHC,TRUE
9606.ENSP00000369689,CALML5,Down_LIHC,TRUE
9606.ENSP00000379098,CAMK2B,Down_LIHC,TRUE
9606.ENSP00000380697,IRF7,Down_LIHC,TRUE
9606.ENSP00000415743,CD36,Up_LIHC,TRUE
9606.ENSP00000427279,CXCL2,Down_LIHC,TRUE
9606.ENSP00000430684,IKBKB,Down_LIHC,TRUE
9606.ENSP00000464030,IKBKE,Up_LIHC,TRUE
9606.ENSP00000500386,CAMK2A,Down_LIHC,TRUE
